h,probability_mass
0.06067276111900158,0.00039728153324320516
0.06250755036743959,0.00041063107272278104
0.0643423396158776,0.0004242668021336834
0.0661771288643156,0.00043818823319777115
0.06801191811275363,0.0004523946010211203
0.06984670736119164,0.0004668848603104692
0.07168149660962965,0.00048165768207381087
0.07351628585806766,0.0004967114508204483
0.07535107510650567,0.000512044262275147
0.07718586435494368,0.0005276539216173685
0.0790206536033817,0.0005435379422580465
0.0808554428518197,0.0005596935451608405
0.08269023210025772,0.0005761176587180374
0.08452502134869573,0.0005928069191843389
0.08635981059713374,0.0006097576716752517
0.08819459984557175,0.0006269659717296184
0.09002938909400976,0.0006444275874393751
0.09186417834244778,0.0006621380021432078
0.09369896759088578,0.0006800924176827918
0.0955337568393238,0.0006982857582141854
0.09736854608776181,0.0007167126745716387
0.09920333533619982,0.0007353675491697348
0.10103812458463783,0.0007542445014387313
0.10287291383307584,0.0007733373937784423
0.10470770308151386,0.0007926398380164099
0.10654249232995186,0.0008121452023567663
0.10837728157838988,0.0008318466188020502
0.1102120708268279,0.000851736991028193
0.1120468600752659,0.0008718090026954116
0.11388164932370391,0.0008920551261711838
0.11571643857214192,0.000912467631645371
0.11755122782057995,0.0009330385966101691
0.11938601706901794,0.0009537599156850057
0.12122080631745596,0.0009746233107572839
0.12305559556589397,0.00099562034141382
0.12489038481433198,0.0010167424156336266
0.12672517406277,0.0010379808007213614
0.128559963311208,0.001059326634443277
0.130394752559646,0.0010807709363446084
0.13222954180808402,0.0011023046192184106
0.13406433105652205,0.00112391850069493
0.13589912030496004,0.00114560331492472
0.13773390955339807,0.001167349724327861
0.1395686988018361,0.0011891483313777374
0.14140348805027408,0.0012109896903988071
0.14323827729871208,0.0012328643193416202
0.1450730665471501,0.001254762711517011
0.14690785579558813,0.001276675347261115
0.14874264504402612,0.0012985927055059181
0.15057743429246415,0.0013205052752319802
0.15241222354090217,0.0013424035667829214
0.15424701278934017,0.0013642781230171453
0.15608180203777816,0.0013861195302797553
0.15791659128621618,0.0014079184291762958
0.1597513805346542,0.001429665525124338
0.1615861697830922,0.0014513515986801758
0.16342095903153023,0.001472967515612966
0.16525574827996825,0.001494504236721168
0.16709053752840625,0.0015159528273789495
0.16892532677684424,0.0015373044668002133
0.17076011602528227,0.0015585504570176606
0.1725949052737203,0.0015796822315603152
0.17442969452215829,0.0016006913638380135
0.1762644837705963,0.0016215695752172738
0.17809927301903433,0.0016423087427928434
0.17993406226747233,0.0016629009068506286
0.18176885151591032,0.001683338278027517
0.18360364076434835,0.0017036132441633608
0.18543843001278637,0.0017237183768522768
0.18727321926122437,0.0017436464376974392
0.1891080085096624,0.0017633903842713427
0.19094279775810039,0.001782943375790926
0.1927775870065384,0.0018022987785121737
0.19461237625497643,0.0018214501708497873
0.19644716550341443,0.001840391348236043
0.19828195475185245,0.0018591163277220269
0.20011674400029045,0.001877619352325846
0.20195153324872847,0.0018958948951518597
0.20378632249716647,0.0019139376632693252
0.2056211117456045,0.0019317426013805206
0.2074559009940425,0.0019493048952673863
0.2092906902424805,0.001966619975042074
0.21112547949091853,0.0019836835181959553
0.21296026873935653,0.0020004914524662733
0.21479505798779455,0.0020170399585187535
0.21662984723623255,0.00203332547245796
0.21846463648467057,0.0020493446881665865
0.2202994257331086,0.002065094559483603
0.2221342149815466,0.0020805723022220197
0.22396900422998461,0.0020957753960287383
0.2258037934784226,0.0021107015860881966
0.22763858272686063,0.00212534888467515
0.22947337197529863,0.0021397155725486378
0.23130816122373665,0.0021538002001895546
0.23314295047217468,0.0021676015888839415
0.23497773972061267,0.002181118831636963
0.2368125289690507,0.00219435129392166
0.2386473182174887,0.0022072986142511668
0.24048210746592671,0.002219960704573067
0.2423168967143647,0.0022323377504693876
0.24415168596280273,0.002244430211157632
0.24598647521124076,0.0022562388192827547
0.24782126445967875,0.002267764580485996
0.24965605370811678,0.0022790087727423826
0.25149084295655477,0.0022899729454481667
0.2533256322049928,0.002300658918250634
0.25516042145343076,0.002311068779603086
0.2569952107018688,0.0023212048850314027
0.25882999995030687,0.0023310698550946802
0.2606647891987448,0.0023406665730343764
0.26249957844718286,0.002349998182083245
0.26433436769562085,0.0023590680824271
0.26616915694405885,0.0023678799278107924
0.2680039461924969,0.002376437621758575
0.2698387354409349,0.002384745313410112
0.2716735246893729,0.0023928073929524725
0.27350831393781094,0.0024006284866306626
0.27534310318624894,0.0024082134513419493
0.27717789243468693,0.0024155673687793447
0.279012681683125,0.002422695539141052
0.2808474709315629,0.002429603474379698
0.282682260180001,0.0024362968909887785
0.28451704942843903,0.002442781702329375
0.28635183867687697,0.0024490640104858265
0.288186627925315,0.002455150097647083
0.290021417173753,0.002461046417025873
0.291856206422191,0.002466759583304637
0.29369099567062906,0.0024722963626179944
0.29552578491906706,0.0024776636620841546
0.29736057416750505,0.002482868518877323
0.2991953634159431,0.002487918088871077
0.3010301526643811,0.0024928196348475303
0.3028649419128191,0.0024975805143017146
0.30469973116125715,0.0025022081668453007
0.3065345204096951,0.0025067101012368276
0.30836930965813314,0.0025110938820563826
0.3102040989065712,0.0025153671160477336
0.31203888815500913,0.0025195374381508985
0.3138736774034472,0.0025236124972552406
0.31570846665188523,0.002527599941704624
0.3175432559003232,0.0025315074045719655
0.3193780451487612,0.002535342488751753
0.32121283439719917,0.00253911275189355
0.3230476236456372,0.0025428256912155356
0.32488241289407527,0.0025464887282315276
0.3267172021425132,0.002550109193439692
0.32855199139095126,0.0025536943109894412
0.3303867806393893,0.002557251183397128
0.33222156988782725,0.002560786776318992
