alpha,probability_mass
-0.01673784090909091,0.003939627914935414
-0.01584595881156252,0.004037459002752057
-0.01495407671403413,0.004135281413488453
-0.014062194616505739,0.004232981473246467
-0.01317031251897735,0.0043304433317723975
-0.012278430421448959,0.004427549200439138
-0.011386548323920569,0.004524179601450741
-0.010494666226392179,0.004620213627604101
-0.009602784128863789,0.004715529211884272
-0.008710902031335399,0.0048100034061155485
-0.007819019933807009,0.004903512667831166
-0.006927137836278619,0.0049959331544756815
-0.0060352557387502274,0.005087141024005069
-0.0051433736412218375,0.005177012740903761
-0.0042514915436934475,0.005265425386597639
-0.0033596094461650575,0.005352256973203196
-0.0024677273486366676,0.0054373867595223346
-0.0015758452511082776,0.005520695568164187
-0.0006839631535798876,0.005602066102648145
0.00020791894394850408,0.0056813832633313315
0.0010998010414768923,0.005758534460983535
0.001991683139005284,0.005833409926830165
0.0028835652365336722,0.005905903017879629
0.003775447334062064,0.005975910516355108
0.004667329431590456,0.006043332922060455
0.005559211529118844,0.006108074736526086
0.006451093626647236,0.0061700447377977296
0.007342975724175624,0.0062291562447615275
0.008234857821704016,0.0062853273699285325
0.009126739919232404,0.006338481259636702
0.010018622016760795,0.00638854632067726
0.010910504114289184,0.0064354564323922175
0.011802386211817575,0.006479151143349373
0.012694268309345967,0.006519575851753098
0.013586150406874355,0.006556681968813907
0.014478032504402747,0.006590427064365693
0.015369914601931135,0.006620774994086718
0.016261796699459527,0.006647696007756971
0.01715367879698792,0.006671166838057889
0.018045560894516303,0.006691170769500386
0.018937442992044695,0.00670769768715096
0.019829325089573087,0.006720744104903563
0.02072120718710148,0.0067303131731363056
0.02161308928462987,0.006736414665670838
0.022504971382158255,0.0067390649460472365
0.023396853479686647,0.006738286913203599
0.02428873557721504,0.006734109926746625
0.02518061767474343,0.006726569712076784
0.026072499772271822,0.006715708245720668
0.026964381869800207,0.006701573621304452
0.0278562639673286,0.006684219896684419
0.02874814606485699,0.00666370692282709
0.029640028162385382,0.0066401001551085565
0.030531910259913767,0.006613470447775134
0.03142379235744216,0.006583893832374959
0.03231567445497055,0.006551451281035317
0.03320755655249894,0.006516228455522609
0.03409943865002733,0.006478315443074869
0.03499132074755572,0.006437806480051261
0.03588320284508411,0.0063947996644851835
0.0367750849426125,0.0063493966586721335
0.03766696704014089,0.0063017023829570785
0.03855884913766928,0.006251824701913
0.03945073123519767,0.00619987410413353
0.04034261333272606,0.006145963376871113
0.04123449543025445,0.00609020727677318
0.042126377527782845,0.006032722197967617
0.04301825962531123,0.005973625838756666
0.04391014172283962,0.005913036868165411
0.04480202382036801,0.0058510745935860765
0.045693905917896405,0.005787858630738871
0.046585788015424796,0.00572350857714899
0.04747767011295318,0.005658143690311914
0.04836955221048158,0.005591882571686281
0.049261434308009965,0.005524842857614889
0.05015331640553835,0.0054571409182338415
0.05104519850306675,0.005388891565380821
0.05193708060059513,0.0053202077704653595
0.05282896269812352,0.0052512003932055976
0.053720844795651916,0.0051819779220816055
0.0546127268931803,0.005112646227291266
0.0555046089907087,0.005043308326932046
0.056396491088237084,0.00497406416706435
0.05728837318576547,0.004905010416244859
0.05818025528329387,0.0048362402750468025
0.05907213738082225,0.004767843301012996
0.05996401947835065,0.004699905249414927
0.060855901575879036,0.004632507930118214
0.06174778367340742,0.00456572908078133
0.06263966577093583,0.004499642256541937
0.06353154786846421,0.004434316736271703
0.0644234299659926,0.004369817445410849
0.06531531206352098,0.004306204895321017
0.06620719416104937,0.004243535139028378
0.06709907625857778,0.004181859743161953
0.06799095835610616,0.004121225775825907
0.06888284045363455,0.004061675810084725
0.06977472255116293,0.004003247942679987
0.07066660464869132,0.003945975827540849
0.07155848674621973,0.003889888723597674
0.07245036884374811,0.0038350115563592913
0.0733422509412765,0.003781364992666893
0.07423413303880488,0.0037289655279963982
0.07512601513633327,0.0036778255856431377
0.07601789723386168,0.0036279536270864853
0.07690977933139007,0.0035793542728041173
0.07780166142891845,0.003532028432777293
0.07869354352644684,0.0034859734459083747
0.07958542562397522,0.003441183227552254
0.08047730772150363,0.003397648424351389
0.08136918981903202,0.0033553565755531996
0.0822610719165604,0.0033142922799842814
0.08315295401408879,0.0032744373678537716
0.08404483611161717,0.0032357710765612215
0.08493671820914558,0.0031982702296902863
0.08582860030667397,0.003161909418379827
0.08672048240420235,0.0031266611842775734
0.08761236450173074,0.0030924962032980114
0.08850424659925912,0.003059383469427179
0.08939612869678751,0.0030272904778388347
0.09028801079431592,0.0029961834066135552
0.0911798928918443,0.002966027296380671
0.09207177498937269,0.0029367862272324913
0.09296365708690107,0.002908423492295613
0.09385553918442946,0.0028809017673767775
0.09474742128195787,0.0028541832761386802
0.09563930337948626,0.0028282299502990172
0.09653118547701464,0.002803003584384528
0.09742306757454303,0.0027784659846132186
0.09831494967207141,0.0027545791115177855
0.09920683176959982,0.0027313052159652763
0.10009871386712821,0.0027086069682694973
0.1009905959646566,0.0026864475801346645
0.10188247806218498,0.0026647909192094184
0.10277436015971336,0.0026436016160731875
0.10366624225724178,0.002622845163515171
0.10455812435477016,0.0026024880080082044
0.10545000645229854,0.002582497633316722
0.10634188854982693,0.002562842636216849
0.10723377064735531,0.0025434927943426794
0.10812565274488373,0.002524419126207249
0.10901753484241211,0.0025055939434808186
0.1099094169399405,0.002486990895640337
0.11080129903746888,0.002468585007133696
0.11169318113499727,0.002450352707230513
0.11258506323252565,0.0024322718527576065
0.11347694533005406,0.0024143217439403473
0.11436882742758245,0.002396483133593921
0.11526070952511083,0.002378738229928055
0.11615259162263922,0.0023610706932462337
