PSI,WEIGHT
0.421551164214146,918022.0
0.9275793071931118,45761.0
1.0219525074684523,7296.0
1.0511682646257097,1991.0
1.2286604648944557,101900.0
1.239309263070896,18750.0
1.6203477123815966,124794.0
1.6470998507653871,85705.0
1.7399866242596,60510.0
1.8327411233712358,33461.0
1.8658668004565648,128928.0
1.8745099016171491,115806.0
1.9383228519754054,4468.0
1.944653730544893,2126.0
1.9566808603127137,82284.0
2.1510773837204247,10297.0
2.2386786387555357,451.0
2.2423435837331915,1717.0
2.2507160656657765,221111.0
2.2656426733795967,1844.0
2.362906287286892,27963.0
2.4647828575105017,24739.0
2.5179514574512623,29987.0
2.5529328481828473,7232.0
2.6487159600100934,12786.0
2.665198252738988,89538.0
2.6742540054920294,3825.0
2.7063164745216675,156755.0
2.706750698335695,52170.0
2.748127679845171,416275.0
2.7809506419696897,3958.0
3.058439006144819,7211.0
3.0825507487671024,12413.0
3.1580900446126883,44625.0
3.171987603288322,2379.0
3.1882174203289373,88141.0
3.281499480226541,10499.0
3.6674632578257262,24838.0
4.008719699572085,34533.0
4.040357060957641,67670.0
4.189673325742993,3546.0
4.330728869156995,106967.0
4.397880200182611,1130.0
4.546667139932477,509400.0
4.760374400163672,45764.0
4.832475366948392,16279.0
4.980843863343753,10505.0
5.045293270777208,967.0
5.093441265059074,6612.0
5.10917785477126,1056.0
5.1751956609051595,17833.0
5.357952068256717,27441.0
6.474847997070569,37325.0
6.550996867030256,3192.0
6.756311527667765,19294.0
7.892136973214359,91960.0
8.12288534553811,3367.0
9.037328512847143,143110.0
9.240654152671507,35474.0
9.30316429409841,108587.0
9.45002771284156,14250.0
9.455544441507696,64650.0
9.56149336725414,23091.0
12.730959809055854,10454.0
14.181499997558834,16907.0
14.977927839384463,81883.0
15.17314406159418,148356.0
15.316156304857726,558616.0
15.398628742703787,2201.0
15.9161815594373,36232.0
16.023610000490557,66631.0
16.19978226407176,1146.0
17.410852845101623,20.0
17.698625349115638,141327.0
