alpha,probability_mass
0.0,0.004340422644306373
0.0005992405644622579,0.004388207823140029
0.0011984811289245158,0.004435102429438691
0.0017977216933867737,0.004481070391812685
0.0023969622578490315,0.004526076350574171
0.0029962028223112893,0.004570085712552221
0.0035954433867735475,0.004613064705015301
0.004194683951235805,0.004654980428585402
0.004793924515698063,0.004695800909026454
0.005393165080160321,0.004735495147790118
0.0059924056446225785,0.0047740331712067706
0.006591646209084837,0.004811386078212099
0.007190886773547095,0.0048475260864981355
0.007790127338009352,0.004882426576987208
0.00838936790247161,0.004916062136524021
0.008988608466933869,0.004948408598690732
0.009587849031396126,0.004979443082647754
0.010187089595858383,0.005009144029912876
0.010786330160320642,0.005037491238992458
0.0113855707247829,0.005064465897782652
0.011984811289245157,0.005090050613667143
0.012584051853707416,0.005114229441237556
0.013183292418169673,0.0051369879075749015
0.01378253298263193,0.005158313035028789
0.01438177354709419,0.005178193361442348
0.014981014111556447,0.005196618957774274
0.015580254676018705,0.0052135814430753075
0.016179495240480964,0.005229073996784085
0.01677873580494322,0.005243091368311711
0.01737797636940548,0.005255629883891739
0.017977216933867737,0.0052666874506799854
0.018576457498329993,0.005276263558091958
0.019175698062792252,0.005284359276373888
0.01977493862725451,0.005290977252412139
0.020374179191716767,0.00529612170278783
0.020973419756179026,0.005299798404092332
0.021572660320641285,0.005302014680527118
0.02217190088510354,0.005302779388814887
0.0227711414495658,0.005302102900456496
0.02337038201402806,0.00529999708137688
0.023969622578490314,0.005296475269002825
0.024568863142952573,0.005291552246828807
0.025168103707414832,0.005285244216528313
0.025767344271877088,0.0052775687676742036
0.026366584836339347,0.005268544845138587
0.026965825400801606,0.005258192714246841
0.02756506596526386,0.005246533923764421
0.02816430652972612,0.005233591266803569
0.02876354709418838,0.0052193887397361015
0.029362787658650635,0.005203951499206986
0.029962028223112894,0.005187305817346653
0.03056126878757515,0.005169479035281623
0.03116050935203741,0.005150499515048605
0.031759749916499665,0.005130396590020583
0.03235899048096193,0.005109200513952794
0.03295823104542418,0.005086942408764524
0.03355747160988644,0.005063654211169892
0.0341567121743487,0.005039368618275054
0.03475595273881096,0.005014119032260456
0.03535519330327321,0.004987939504269004
0.035954433867735475,0.004960864677618578
0.03655367443219773,0.00493292973046282
0.037152914996659986,0.0049041703180197896
0.03775215556112225,0.004874622514491655
0.038351396125584504,0.0048443227547945306
0.03895063669004676,0.004813307776221885
0.03954987725450902,0.0047816145601582835
0.04014911781897128,0.004749280273962618
0.04074835838343353,0.004716342213138857
0.041347598947895796,0.0046828377439066
0.04194683951235805,0.004648804246285604
0.04254608007682031,0.004614279057804765
0.04314532064128257,0.004579299417941471
0.043744561205744825,0.004543902413397328
0.04434380177020708,0.004508124924311234
0.04494304233466934,0.004472003571507674
0.0455422828991316,0.004435574664874272
0.046141523463593855,0.004398874152960145
0.04674076402805612,0.004361937573881624
0.04734000459251837,0.0043248000076160885
0.04793924515698063,0.0042874960297646
0.04853848572144289,0.004250059666855766
0.049137726285905146,0.004212524353259734
0.0497369668503674,0.004174922889777326
0.050336207414829665,0.004137287403964742
0.05093544797929192,0.004099649312247035
0.051534688543754176,0.004062039283871981
0.05213392910821644,0.004024487206748222
0.052733169672678694,0.003987022155208763
0.05333241023714095,0.00394967235973371
0.05393165080160321,0.003912465178663588
0.05453089136606547,0.0038754270719268667
0.05513013193052772,0.0038385835768030194
0.055729372494989986,0.0038019592857356102
0.05632861305945224,0.0037655778262055575
0.0569278536239145,0.003729461842670666
0.05752709418837676,0.0036936329805715784
0.058126334752839015,0.0036581118724002075
0.05872557531730127,0.0036229181258230765
0.059324815881763526,0.0035880703138456245
0.05992405644622579,0.0035535859670009265
0.060523297010688044,0.0035194815675412845
0.0611225375751503,0.0034857725456079983
0.06172177813961256,0.003452473277348986
0.06232101870407482,0.003419597084952479
0.06292025926853707,0.003387156238559515
0.06351949983299933,0.00335516196001621
0.0641187403974616,0.0033236244284217554
0.06471798096192385,0.00329255278742758
0.06531722152638611,0.0032619551542371543
0.06591646209084837,0.0032318386302566077
0.06651570265531062,0.0032022093133407888
0.06711494321977288,0.003173072311579783
0.06771418378423515,0.003144431758567058
0.0683134243486974,0.0031162908300887524
0.06891266491315966,0.0030886517621740686
0.06951190547762191,0.003061515870441003
0.07011114604208417,0.003034883570675266
0.07071038660654642,0.003008754400575741
0.0713096271710087,0.002983127042599639
0.07190886773547095,0.0029579993478414186
0.0725081082999332,0.002933368360876603
0.07310734886439546,0.0029092303455032537
0.07370658942885772,0.002885580811312141
0.07430582999331997,0.0028624145410181567
0.07490507055778224,0.002839725618484512
0.0755043111222445,0.0028175074573720264
0.07610355168670675,0.002795752830345877
0.07670279225116901,0.0027744538987740605
0.07730203281563126,0.0027536022428506675
0.07790127338009352,0.002733188892079373
0.07850051394455577,0.0027132043560530675
0.07909975450901804,0.0026936386554666713
0.0796989950734803,0.002674481353301645
0.08029823563794256,0.002655721586121359
0.08089747620240481,0.002637348095418796
0.08149671676686707,0.0026193492589593028
0.08209595733132932,0.0026017131220618236
0.08269519789579159,0.0025844274287655576
0.08329443846025385,0.0025674796528286515
0.0838936790247161,0.0025508570285087957
0.08449291958917836,0.0025345465810769456
0.08509216015364061,0.0025185351570170367
0.08569140071810287,0.0025028094538667002
0.08629064128256514,0.002487356049656401
0.0868898818470274,0.0024721614319053445
0.08748912241148965,0.0024572120261353524
0.0880883629759519,0.0024424942238658156
0.08868760354041416,0.002427994410054025
0.08928684410487642,0.002413698989948971
0.08988608466933869,0.002399594415326079
0.09048532523380094,0.00238566721007512
