h,probability_mass
0.06067276111900158,0.00045152601886238144
0.06250755036743959,0.0004639496528797993
0.0643423396158776,0.00047658233054197603
0.0661771288643156,0.000489423129373066
0.06801191811275363,0.0005024709725445195
0.06984670736119164,0.0005157246277411107
0.07168149660962965,0.0005291827062092594
0.07351628585806766,0.0005428436619922625
0.07535107510650567,0.0005567057913532501
0.07718586435494368,0.0005707672323880622
0.0790206536033817,0.000585025964830365
0.0808554428518197,0.0005994798100493291
0.08269023210025772,0.0006141264312410591
0.08452502134869573,0.0006289633338130363
0.08635981059713374,0.0006439878659642153
0.08819459984557175,0.000659197219456871
0.09002938909400976,0.0006745884305819546
0.09186417834244778,0.0006901583813164855
0.09369896759088578,0.000705903800669185
0.0955337568393238,0.0007218212662164961
0.09736854608776181,0.0007379072058229187
0.09920333533619982,0.0007541578995454365
0.10103812458463783,0.0007705694817177343
0.10287291383307584,0.0007871379432126156
0.10470770308151386,0.0008038591338777605
0.10654249232995186,0.0008207287651413056
0.10837728157838988,0.0008377424127845757
0.1102120708268279,0.0008548955198749114
0.1120468600752659,0.0008721833998579341
0.11388164932370391,0.0008896012398008944
0.11571643857214192,0.0009071441037852428
0.11755122782057995,0.0009248069364407258
0.11938601706901794,0.0009425845666188485
0.12122080631745596,0.000960471711197354
0.12305559556589397,0.0009784629790129118
0.12489038481433198,0.0009965528749151615
0.12672517406277,0.0010147358039372216
0.128559963311208,0.0010330060755751624
0.130394752559646,0.0010513579081760072
0.13222954180808402,0.0010697854334225142
0.13406433105652205,0.001088282700911826
0.13589912030496004,0.0011068436828248428
0.13773390955339807,0.0011254622786759866
0.1395686988018361,0.0011441323201434126
0.14140348805027408,0.0011628475759679865
0.14323827729871208,0.0011816017569227738
0.1450730665471501,0.001200388520841793
0.14690785579558813,0.001219201477707797
0.14874264504402612,0.0012380341947903827
0.15057743429246415,0.0012568802018324103
0.15241222354090217,0.0012757329962781313
0.15424701278934017,0.0012945860485409297
0.15608180203777816,0.0013134328073040981
0.15791659128621618,0.0013322667048501153
0.1597513805346542,0.0013510811624185821
0.1615861697830922,0.0013698695955832384
0.16342095903153023,0.001388625419647642
0.16525574827996825,0.0014073420550566825
0.16709053752840625,0.0014260129328183021
0.16892532677684424,0.0014446314999310207
0.17076011602528227,0.00146319122482013
0.1725949052737203,0.0014816856027715184
0.17442969452215829,0.0015001081613661205
0.1762644837705963,0.0015184524659085318
0.17809927301903433,0.00153671212484885
0.17993406226747233,0.0015548807951950546
0.18176885151591032,0.0015729521879121122
0.18360364076434835,0.001590920073303872
0.18543843001278637,0.001608778286380166
0.18727321926122437,0.001626520732198897
0.1891080085096624,0.0016441413911878438
0.19094279775810039,0.0016616343244369623
0.1927775870065384,0.0016789936789648532
0.19461237625497643,0.001696213692947653
0.19644716550341443,0.0017132887009186817
0.19828195475185245,0.0017302131389243724
0.20011674400029045,0.0017469815496401174
0.20195153324872847,0.0017635885874428456
0.20378632249716647,0.0017800290234308608
0.2056211117456045,0.0017962977503936117
0.2074559009940425,0.0018123897877234097
0.2092906902424805,0.0018283002862661709
0.21112547949091853,0.0018440245331086047
0.21296026873935653,0.001859557956291591
0.21479505798779455,0.0018748961294518638
0.21662984723623255,0.001890034776381093
0.21846463648467057,0.0019049697755005625
0.2202994257331086,0.0019196971642457654
0.2221342149815466,0.0019342131433493876
0.22396900422998461,0.0019485140810252567
0.2258037934784226,0.0019625965170407375
0.22763858272686063,0.0019764571666720143
0.22947337197529863,0.0019900929245363647
0.23130816122373665,0.0020035008682917333
0.23314295047217468,0.0020166782622044535
0.23497773972061267,0.002029622560562319
0.2368125289690507,0.0020423314109410955
0.2386473182174887,0.002054802657306463
0.24048210746592671,0.0020670343429470992
0.2423168967143647,0.0020790247132312692
0.24415168596280273,0.0020907722181751965
0.24598647521124076,0.0021022755148178145
0.24782126445967875,0.002113533469394012
0.24965605370811678,0.0021245451592948913
0.25149084295655477,0.0021353098748084333
0.2533256322049928,0.0021458271206335738
0.25516042145343076,0.002156096617156424
0.2569952107018688,0.0021661183014795513
0.25882999995030687,0.002175892328206842
0.2606647891987448,0.0021854190699567375
0.26249957844718286,0.0021946991176170134
0.26433436769562085,0.0022037332803186882
0.26616915694405885,0.0022125225851298397
0.2680039461924969,0.0022210682764597658
0.2698387354409349,0.0022293718151695143
0.2716735246893729,0.0022374348773794516
0.27350831393781094,0.0022452593529712064
0.27534310318624894,0.0022528473437805215
0.27717789243468693,0.002260201161470506
0.279012681683125,0.0022673233250945857
0.2808474709315629,0.002274216558323016
0.282682260180001,0.002280883786360946
0.28451704942843903,0.0022873281325308304
0.28635183867687697,0.002293552914530492
0.288186627925315,0.0022995616403618407
0.290021417173753,0.002305358003937936
0.291856206422191,0.002310945880360697
0.29369099567062906,0.002316329320875626
0.29552578491906706,0.0023215125475076113
0.29736057416750505,0.002326499947380997
0.2991953634159431,0.002331296066725907
0.3010301526643811,0.0023359056045822385
0.3028649419128191,0.0023403334061993806
0.30469973116125715,0.002344584456148163
0.3065345204096951,0.0023486638711463586
0.30836930965813314,0.0023525768926129656
0.3102040989065712,0.0023563288789510382
0.31203888815500913,0.002359925297585746
0.3138736774034472,0.002363371716752604
0.31570846665188523,0.002366673797061745
0.3175432559003232,0.002369837282841437
0.3193780451487612,0.0023728679932847104
0.32121283439719917,0.0023757718134044723
0.3230476236456372,0.002378554684821227
0.32488241289407527,0.002381222596392967
0.3267172021425132,0.0023837815747082057
0.32855199139095126,0.002386237674460895
0.3303867806393893,0.002388596968720168
0.33222156988782725,0.0023908655391191858
