"state","puma22","cbsa20","cbsatype20","stab","CBSAName20","PUMA22name","pop20","afact"
"State code","PUMA (2022)","Core-based statistical area code","CBSA type (2020)","State abbr.","2020 CBSA name","PUMA22 name","Total population (2020 Census)","puma22-to-cbsatype20 allocation factor"
"01","02500","45980","Micro","AL","Troy, AL","Covington, Pike, Barbour, Butler & Crenshaw Counties",33009,0.2578 
"01","02500","99999"," ","AL","[not in a CBSA]","Covington, Pike, Barbour, Butler & Crenshaw Counties",69815,0.5452 
"01","02600","12120","Micro","AL","Atmore, AL","Southwest Alabama",36757,0.283 
"01","02600","33660","Metro","AL","Mobile, AL","Southwest Alabama",15388,0.1185 
"01","02600","99999"," ","AL","[not in a CBSA]","Southwest Alabama",77721,0.5985 
"01","02701","19300","Metro","AL","Daphne-Fairhope-Foley, AL","Baldwin County (North)--Daphne, Fairhope & Spanish Fort Cities",118618,1 
"01","02702","19300","Metro","AL","Daphne-Fairhope-Foley, AL","Baldwin County (South)--Foley, Gulf Shores & Robertsdale Cities",113149,1 
"01","02801","33660","Metro","AL","Mobile, AL","Mobile County (Outer)--Prichard & Saraland Cities",139133,1 
"01","02802","33660","Metro","AL","Mobile, AL","Mobile City (West) & Tillmans Corner CDP",129797,1 
"01","02803","33660","Metro","AL","Mobile, AL","Mobile City (East)",145879,1 
"02","00101","11260","Metro","AK","Anchorage, AK","Anchorage Municipality (North)",131989,1 
"02","00102","11260","Metro","AK","Anchorage, AK","Anchorage Municipality (South)",159258,1 
"02","00200","11260","Metro","AK","Anchorage, AK","Matanuska-Susitna & Kenai Peninsula Boroughs",107081,0.6455 
"02","00200","99999"," ","AK","[not in a CBSA]","Matanuska-Susitna & Kenai Peninsula Boroughs",58799,0.3545 
"02","00300","21820","Metro","AK","Fairbanks, AK","Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",95655,0.5857 
"02","00300","27940","Micro","AK","Juneau, AK","Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",32255,0.1975 
"02","00300","28540","Micro","AK","Ketchikan, AK","Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",13948,0.0854 
"02","00300","99999"," ","AK","[not in a CBSA]","Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",21466,0.1314 
"02","00400","99999"," ","AK","[not in a CBSA]","Subsistence Alaska",112940,1 
"04","00101","38060","Metro","AZ","Phoenix-Mesa-Chandler, AZ","Maricopa County--Mesa City (East)",185881,1 
"04","00102","38060","Metro","AZ","Phoenix-Mesa-Chandler, AZ","Maricopa County--Mesa City (North Central)",144062,1 
"04","00103","38060","Metro","AZ","Phoenix-Mesa-Chandler, AZ","Maricopa County--Mesa City (West)",120951,1 
"04","00104","38060","Metro","AZ","Phoenix-Mesa-Chandler, AZ","Maricopa County--Mesa City (South Central)",106653,1 
"04","00105","38060","Metro","AZ","Phoenix-Mesa-Chandler, AZ","Maricopa County--Gilbert Town (North)",165935,1 
"04","00106","38060","Metro","AZ","Phoenix-Mesa-Chandler, AZ","Maricopa County--Chandler City (Northeast)",122710,1 
"04","00107","38060","Metro","AZ","Phoenix-Mesa-Chandler, AZ","Maricopa County--Chandler City (South)",128103,1 
"04","00108","38060","Metro","AZ","Phoenix-Mesa-Chandler, AZ","Maricopa County--Tempe (South) & Chandler (Northwest) Cities",107998,1 
"04","00109","38060","Metro","AZ","Phoenix-Mesa-Chandler, AZ","Maricopa County--Tempe City (North)",108516,1 
"04","00110","38060","Metro","AZ","Phoenix-Mesa-Chandler, AZ","Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town",128498,1 
"04","00111","38060","Metro","AZ","Phoenix-Mesa-Chandler, AZ","Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town",111602,1 
"04","00112","38060","Metro","AZ","Phoenix-Mesa-Chandler, AZ","Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek",130727,1 
"04","00113","38060","Metro","AZ","Phoenix-Mesa-Chandler, AZ","Phoenix City (Northeast)",104693,1 
"04","00114","38060","Metro","AZ","Phoenix-Mesa-Chandler, AZ","Phoenix City (Northeast Central)",111355,1 
"04","00115","38060","Metro","AZ","Phoenix-Mesa-Chandler, AZ","Phoenix City (Northwest Central)",109655,1 
"04","00116","38060","Metro","AZ","Phoenix-Mesa-Chandler, AZ","Phoenix City (Uptown)",110648,1 
"04","00117","38060","Metro","AZ","Phoenix-Mesa-Chandler, AZ","Phoenix City (East)",109946,1 
"04","00118","38060","Metro","AZ","Phoenix-Mesa-Chandler, AZ","Phoenix City--Downtown & Sky Harbor International Airport",116146,1 
"04","00119","38060","Metro","AZ","Phoenix-Mesa-Chandler, AZ","Phoenix City (South)",117231,1 
"04","00120","38060","Metro","AZ","Phoenix-Mesa-Chandler, AZ","Phoenix City--Ahwatukee & South Mountain",108700,1 
"04","00121","38060","Metro","AZ","Phoenix-Mesa-Chandler, AZ","Phoenix (Southwest) & Tolleson Cities",166779,1 
"04","00122","38060","Metro","AZ","Phoenix-Mesa-Chandler, AZ","Phoenix City--Maryvale (East)",102202,1 
"04","00123","38060","Metro","AZ","Phoenix-Mesa-Chandler, AZ","Phoenix City--Maryvale (West)",115847,1 
"04","00124","38060","Metro","AZ","Phoenix-Mesa-Chandler, AZ","Maricopa County--Glendale City (South)",114445,1 
"04","00125","38060","Metro","AZ","Phoenix-Mesa-Chandler, AZ","Phoenix City (West)",114546,1 
"04","00126","38060","Metro","AZ","Phoenix-Mesa-Chandler, AZ","Maricopa County--Glendale City (North)",129933,1 
"04","00127","38060","Metro","AZ","Phoenix-Mesa-Chandler, AZ","Maricopa County--Peoria City (South & Central)",121259,1 
"04","00128","38060","Metro","AZ","Phoenix-Mesa-Chandler, AZ","Phoenix City (North)",110257,1 
"04","00129","38060","Metro","AZ","Phoenix-Mesa-Chandler, AZ","Phoenix (Far North) & Peoria (Northwest) Cities",140573,1 
"04","00130","38060","Metro","AZ","Phoenix-Mesa-Chandler, AZ","Maricopa County--El Mirage & Sun City",126627,1 
"04","00131","38060","Metro","AZ","Phoenix-Mesa-Chandler, AZ","Maricopa County--Surprise City (Central)",123399,1 
"04","00132","38060","Metro","AZ","Phoenix-Mesa-Chandler, AZ","Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities",146751,1 
"04","00133","38060","Metro","AZ","Phoenix-Mesa-Chandler, AZ","Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities",122883,1 
"04","00134","38060","Metro","AZ","Phoenix-Mesa-Chandler, AZ","Maricopa County (West) & Gila River Indian Community (Northwest)",168686,1 
"04","00135","38060","Metro","AZ","Phoenix-Mesa-Chandler, AZ","Maricopa County--Gilbert (South) & Queen Creek Towns",166371,1 
"04","00400","37740","Micro","AZ","Payson, AZ","Gila, Graham, Greenlee Counties",53272,0.5255 
"04","00400","40940","Micro","AZ","Safford, AZ","Gila, Graham, Greenlee Counties",38533,0.3801 
"04","00400","99999"," ","AZ","[not in a CBSA]","Gila, Graham, Greenlee Counties",9563,0.0943 
"04","00500","22380","Metro","AZ","Flagstaff, AZ","Coconino County",145101,1 
"04","00601","29420","Metro","AZ","Lake Havasu City-Kingman, AZ","Mohave County North--City of Kingman & Bullhead City",111199,1 
"04","00602","29420","Metro","AZ","Lake Havasu City-Kingman, AZ","Mohave County South--Lake Havasu City",102068,1 
"04","00701","49740","Metro","AZ","Yuma, AZ","La Paz & Yuma Counties--Parker, Quartzsite, Wellton Somerton & San Luis Cities",90175,0.8449 
"04","00701","99999"," ","AZ","[not in a CBSA]","La Paz & Yuma Counties--Parker, Quartzsite, Wellton Somerton & San Luis Cities",16557,0.1551 
"04","00803","38060","Metro","AZ","Phoenix-Mesa-Chandler, AZ","Pinal County (North)--Apache Junction City",147577,1 
"04","00805","38060","Metro","AZ","Phoenix-Mesa-Chandler, AZ","Pinal County (Central)--Florence Town, Eloy (Northeast) & Coolidge Cities",122686,1 
"04","00807","38060","Metro","AZ","Phoenix-Mesa-Chandler, AZ","Pinal County (West)--Maricopa, Casa Grande & Eloy (Southeast) Cities",144191,1 
"04","00900","35700","Micro","AZ","Nogales, AZ","Cochise & Santa Cruz Counties--Sierra Vista City",47669,0.2754 
"04","00900","43420","Metro","AZ","Sierra Vista-Douglas, AZ","Cochise & Santa Cruz Counties--Sierra Vista City",125447,0.7246 
"04","01000","43320","Micro","AZ","Show Low, AZ","Navajo & Apache Counties",106717,0.6178 
"04","01000","99999"," ","AZ","[not in a CBSA]","Navajo & Apache Counties",66021,0.3822 
"04","01101","49740","Metro","AZ","Yuma, AZ","Yuma County--Yuma City",113706,1 
"04","01901","46060","Metro","AZ","Tucson, AZ","Pima County (West)",111360,1 
"04","01902","46060","Metro","AZ","Tucson, AZ","Tucson City (West) & Marana Town",137371,1 
"04","01903","38060","Metro","AZ","Phoenix-Mesa-Chandler, AZ","Pima County (North Central)--Oro Valley Town",10810,0.0928 
"04","01903","46060","Metro","AZ","Tucson, AZ","Pima County (North Central)--Oro Valley Town",105731,0.9072 
"04","01904","46060","Metro","AZ","Tucson, AZ","Pima County (Northeast)",109666,1 
"04","01905","46060","Metro","AZ","Tucson, AZ","Pima County (Southeast)--Tucson City (Far Southeast) & Sahuarita Town",111121,1 
"04","01906","46060","Metro","AZ","Tucson, AZ","Tucson City (Northeast)",113591,1 
"04","01907","46060","Metro","AZ","Tucson, AZ","Tucson City (Northwest)",116589,1 
"04","01908","46060","Metro","AZ","Tucson, AZ","Tucson City (South)",115015,1 
"04","01909","46060","Metro","AZ","Tucson, AZ","Tucson City (Southeast)",122989,1 
"04","02502","39150","Metro","AZ","Prescott Valley-Prescott, AZ","Yavapai Urban",135474,1 
"04","02503","39150","Metro","AZ","Prescott Valley-Prescott, AZ","Yavapai Rural",100735,1 
"05","00101","22220","Metro","AR","Fayetteville-Springdale-Rogers, AR","Benton County (Outer)",171025,1 
"05","00102","22220","Metro","AR","Fayetteville-Springdale-Rogers, AR","Benton County (Central)--Bentonville & Rogers Cities",113308,1 
"05","00201","22220","Metro","AR","Fayetteville-Springdale-Rogers, AR","Washington County (Outer)--Springdale City",140215,1 
"05","00202","22220","Metro","AR","Fayetteville-Springdale-Rogers, AR","Washington County (Central)--Fayetteville City",105656,1 
"05","00300","22220","Metro","AR","Fayetteville-Springdale-Rogers, AR","Baxter, Boone & Carroll Counties",16521,0.1061 
"05","00300","25460","Micro","AR","Harrison, AR","Baxter, Boone & Carroll Counties",44598,0.2865 
"05","00300","34260","Micro","AR","Mountain Home, AR","Baxter, Boone & Carroll Counties",41627,0.2674 
"05","00300","99999"," ","AR","[not in a CBSA]","Baxter, Boone & Carroll Counties",52914,0.3399 
"05","00400","12900","Micro","AR","Batesville, AR","Independence, Cleburne & Van Buren Counties",37938,0.3258 
"05","00400","99999"," ","AR","[not in a CBSA]","Independence, Cleburne & Van Buren Counties",78518,0.6742 
"05","00500","12900","Micro","AR","Batesville, AR","Northeast Arkansas",17271,0.1537 
"05","00500","37500","Micro","AR","Paragould, AR","Northeast Arkansas",45736,0.4071 
"05","00500","99999"," ","AR","[not in a CBSA]","Northeast Arkansas",49339,0.4392 
"05","00600","14180","Micro","AR","Blytheville, AR","East Arkansas",40685,0.2643 
"05","00600","22620","Micro","AR","Forrest City, AR","East Arkansas",23090,0.15 
"05","00600","25760","Micro","AR","Helena-West Helena, AR","East Arkansas",16568,0.1076 
"05","00600","32820","Metro","AR","Memphis, TN-MS-AR","East Arkansas",48163,0.3129 
"05","00600","99999"," ","AR","[not in a CBSA]","East Arkansas",25433,0.1652 
"05","00700","27860","Metro","AR","Jonesboro, AR","Craighead & Poinsett Counties",134196,1 
"05","00800","42620","Micro","AR","Searcy, AR","White, Lonoke & Woodruff Counties",76822,0.6684 
"05","00800","99999"," ","AR","[not in a CBSA]","White, Lonoke & Woodruff Counties",38105,0.3316 
"05","00900","30780","Metro","AR","Little Rock-North Little Rock-Conway, AR","Faulkner & Lonoke Counties",197513,1 
"05","01000","40780","Micro","AR","Russellville, AR","Pope, Johnson & Conway Counties",83644,0.6429 
"05","01000","99999"," ","AR","[not in a CBSA]","Pope, Johnson & Conway Counties",46464,0.3571 
"05","01100","22900","Metro","AR","Fort Smith, AR-OK","Sebastian, Crawford & Franklin Counties",205029,1 
"05","01200","45500","Metro","AR","Texarkana, TX-AR","West Arkansas",54626,0.4094 
"05","01200","99999"," ","AR","[not in a CBSA]","West Arkansas",78812,0.5906 
"05","01300","11660","Micro","AR","Arkadelphia, AR","West Central Arkansas",21446,0.1237 
"05","01300","26300","Metro","AR","Hot Springs, AR","West Central Arkansas",100180,0.578 
"05","01300","31680","Micro","AR","Malvern, AR","West Central Arkansas",33040,0.1906 
"05","01300","99999"," ","AR","[not in a CBSA]","West Central Arkansas",18655,0.1076 
"05","01400","30780","Metro","AR","Little Rock-North Little Rock-Conway, AR","Saline, Grant & Perry Counties",151393,1 
"05","01501","30780","Metro","AR","Little Rock-North Little Rock-Conway, AR","Pulaski County (Outer)--North Little Rock, Sherwood & Jacksonville Cities",200774,1 
"05","01502","30780","Metro","AR","Little Rock-North Little Rock-Conway, AR","Pulaski County (Central)--Little Rock City",198351,1 
"05","01600","38220","Metro","AR","Pine Bluff, AR","Southeast Arkansas",87751,0.5059 
"05","01600","99999"," ","AR","[not in a CBSA]","Southeast Arkansas",85709,0.4941 
"05","01700","15780","Micro","AR","Camden, AR","Southwest Arkansas",27389,0.21 
"05","01700","20980","Micro","AR","El Dorado, AR","Southwest Arkansas",39054,0.2995 
"05","01700","26260","Micro","AR","Hope, AR","Southwest Arkansas",28375,0.2176 
"05","01700","31620","Micro","AR","Magnolia, AR","Southwest Arkansas",22801,0.1748 
"05","01700","99999"," ","AR","[not in a CBSA]","Southwest Arkansas",12790,0.0981 
"06","00101","41860","Metro","CA","San Francisco-Oakland-Berkeley, CA","Alameda County (North)--Berkeley & Albany Cities",144592,1 
"06","00111","41860","Metro","CA","San Francisco-Oakland-Berkeley, CA","Alameda County (Northwest)--Oakland City (Downtown/West Oakland/North Oakland)",106433,1 
"06","00112","41860","Metro","CA","San Francisco-Oakland-Berkeley, CA","Alameda County (Northwest)--Oakland City (Oakland Hills)",106896,1 
"06","00113","41860","Metro","CA","San Francisco-Oakland-Berkeley, CA","Alameda County (West)--Oakland City (Elmhurst/Central/East Oakland)",125840,1 
"06","00114","41860","Metro","CA","San Francisco-Oakland-Berkeley, CA","Alameda County (West)--San Leandro, Alameda, Emeryville & Piedmont Cities",194852,1 
"06","00115","41860","Metro","CA","San Francisco-Oakland-Berkeley, CA","Alameda County (Northwest)--Castro Valley & Ashland",107913,1 
"06","00116","41860","Metro","CA","San Francisco-Oakland-Berkeley, CA","Alameda County (Central)--Hayward City (East)",102035,1 
"06","00117","41860","Metro","CA","San Francisco-Oakland-Berkeley, CA","Alameda County (South)--Newark, Union City (West) & Fremont (West) Cities",105721,1 
"06","00118","41860","Metro","CA","San Francisco-Oakland-Berkeley, CA","Alameda County (South)--Fremont (Northeast) & Union City (East) Cities",125765,1 
"06","00119","41860","Metro","CA","San Francisco-Oakland-Berkeley, CA","Alameda County (Central)--Pleasanton & Dublin (West) Cities",126178,1 
"06","00120","41860","Metro","CA","San Francisco-Oakland-Berkeley, CA","Alameda County (East)--Livermore & Dublin (East) Cities",118663,1 
"06","00121","41860","Metro","CA","San Francisco-Oakland-Berkeley, CA","Alameda County (South)--Fremont City (Southeast)",115687,1 
"06","00122","41860","Metro","CA","San Francisco-Oakland-Berkeley, CA","Alameda County (West)--Hayward City (West)",100310,1 
"06","00123","41860","Metro","CA","San Francisco-Oakland-Berkeley, CA","Alameda County (Northwest)--Oakland City (San Antonio/Fruitvale)",101468,1 
"06","00300","43760","Micro","CA","Sonora, CA","Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties",55620,0.2898 
"06","00300","99999"," ","CA","[not in a CBSA]","Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties",136312,0.7102 
"06","00700","17020","Metro","CA","Chico, CA","Butte County--Chico City",211632,1 
"06","01100","39780","Micro","CA","Red Bluff, CA","Colusa, Glenn, Tehama & Trinity Counties",65829,0.4961 
"06","01100","99999"," ","CA","[not in a CBSA]","Colusa, Glenn, Tehama & Trinity Counties",66868,0.5039 
"06","01301","41860","Metro","CA","San Francisco-Oakland-Berkeley, CA","Contra Costa County (Far Southwest)--Richmond (Southwest) & San Pablo Cities",129420,1 
"06","01305","41860","Metro","CA","San Francisco-Oakland-Berkeley, CA","Contra Costa County (South)--San Ramon City & Danville Town",143688,1 
"06","01308","41860","Metro","CA","San Francisco-Oakland-Berkeley, CA","Contra Costa County (Northeast)--Antioch City",120154,1 
"06","01309","41860","Metro","CA","San Francisco-Oakland-Berkeley, CA","Contra Costa County (East)--Brentwood & Oakley Cities",125676,1 
"06","01310","41860","Metro","CA","San Francisco-Oakland-Berkeley, CA","Contra Costa County (Far Northwest)--Richmond (North), Hercules & El Cerrito Cities P",140962,1 
"06","01311","41860","Metro","CA","San Francisco-Oakland-Berkeley, CA","Contra Costa County (West)--Concord (West), Martinez & Pleasant Hill Cities",122701,1 
"06","01312","41860","Metro","CA","San Francisco-Oakland-Berkeley, CA","Contra Costa County (West)--Walnut Creek (West), Lafayette & Orinda Cities",103075,1 
"06","01313","41860","Metro","CA","San Francisco-Oakland-Berkeley, CA","Contra Costa County (Central)--Concord (South), Walnut Creek (East) & Clayton Cities",177708,1 
"06","01314","41860","Metro","CA","San Francisco-Oakland-Berkeley, CA","Contra Costa County (North)--Pittsburg & Concord (North) Cities",102543,1 
"06","01500","18860","Micro","CA","Crescent City, CA","Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties",27743,0.2085 
"06","01500","45000","Micro","CA","Susanville, CA","Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties",32730,0.246 
"06","01500","99999"," ","CA","[not in a CBSA]","Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties",72566,0.5454 
"06","01700","40900","Metro","CA","Sacramento-Roseville-Folsom, CA","El Dorado County--El Dorado Hills, South Lake Tahoe City & Placerville City",191185,1 
"06","01901","23420","Metro","CA","Fresno, CA","Fresno County (West)--Selma, Kerman & Coalinga Cities",147233,1 
"06","01902","23420","Metro","CA","Fresno, CA","Fresno County (North Central)--Fresno City (North)",190983,1 
"06","01903","23420","Metro","CA","Fresno, CA","Fresno County (Central)--Fresno City (East Central)",110562,1 
"06","01904","23420","Metro","CA","Fresno, CA","Fresno County (Central)--Fresno City (Southwest)",180060,1 
"06","01905","23420","Metro","CA","Fresno, CA","Fresno County (Central)--Fresno City (Southeast)",116597,1 
"06","01906","23420","Metro","CA","Fresno, CA","Fresno County (Central)--Clovis City",129784,1 
"06","01907","23420","Metro","CA","Fresno, CA","Fresno County (East)--Sanger, Reedley & Parlier Cities",133435,1 
"06","02300","21700","Micro","CA","Eureka-Arcata, CA","Humboldt County",136463,1 
"06","02500","20940","Metro","CA","El Centro, CA","Imperial County--El Centro City",179702,1 
"06","02903","12540","Metro","CA","Bakersfield, CA","Kern County (Central)--Bakersfield City (Northeast)",168325,1 
"06","02904","12540","Metro","CA","Bakersfield, CA","Kern County (Central)--Bakersfield City (Southeast)",113912,1 
"06","02905","12540","Metro","CA","Bakersfield, CA","Kern County (East)--Ridgecrest, Arvin, Tehachapi & California City Cities",192671,1 
"06","02906","12540","Metro","CA","Bakersfield, CA","Kern County (West)--Delano, Wasco & Shafter Cities",157085,1 
"06","02907","12540","Metro","CA","Bakersfield, CA","Kern County (Central)--Bakersfield City (Northwest) & Rosedale",107020,1 
"06","02908","12540","Metro","CA","Bakersfield, CA","Kern County (Central)--Bakersfield City (Southwest)",170222,1 
"06","03100","25260","Metro","CA","Hanford-Corcoran, CA","Kings County--Hanford City",152486,1 
"06","03300","17340","Micro","CA","Clearlake, CA","Lake & Mendocino Counties",68163,0.4266 
"06","03300","46380","Micro","CA","Ukiah, CA","Lake & Mendocino Counties",91601,0.5734 
"06","03703","31080","Metro","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles County (North Central)--Lancaster City",180992,1 
"06","03704","31080","Metro","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles County (North Central)--Palmdale City",187217,1 
"06","03705","31080","Metro","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles County (North)--LA City (Northwest/Chatsworth & Porter Ranch)",179412,1 
"06","03706","31080","Metro","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles County (North)--LA City (North Central/Granada Hills & Sylmar)",143024,1 
"06","03707","31080","Metro","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles County--LA (North Central/Arleta & Pacoima) & San Fernando Cities",149090,1 
"06","03708","31080","Metro","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles County (North)--LA City (Northeast/Sunland, Sun Valley & Tujunga)",137084,1 
"06","03709","31080","Metro","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles County (Central)--San Gabriel Valley Region (North)",111527,1 
"06","03710","31080","Metro","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles County--Baldwin Park, Azusa, Duarte & Irwindale Cities",181086,1 
"06","03711","31080","Metro","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles County (East Central)--Glendora, Claremont, San Dimas & La Verne Cities P",164821,1 
"06","03712","31080","Metro","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles County (East Central)--Pomona City",151939,1 
"06","03713","31080","Metro","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles County (East Central)--Covina & Walnut Cities",115271,1 
"06","03714","31080","Metro","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles County--Diamond Bar, La Habra Heights (East) Cities & Rowland Heights PUM",107378,1 
"06","03715","31080","Metro","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles County (East Central)--West Covina City",120624,1 
"06","03716","31080","Metro","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles County (East Central)--La Puente & Industry Cities",104622,1 
