"county","cbsa20","CountyName","CBSAName20","pop20","afact2","afact"
"County code","Core-based statistical area code","County name","2020 CBSA name","Total population (2020 Census)","cbsa20-to-county allocation factor","county-to-cbsa20 allocation factor"
"48497","19100","Wise TX","Dallas-Fort Worth-Arlington, TX",68632,0.009,1 
"48499","99999","Wood TX","[not in a CBSA]",44843,0.0025,1 
"48501","99999","Yoakum TX","[not in a CBSA]",7694,0.0004,1 
"48503","99999","Young TX","[not in a CBSA]",17867,0.001,1 
"48505","49820","Zapata TX","Zapata, TX",13889,1,1 
"48507","99999","Zavala TX","[not in a CBSA]",9670,0.0005,1 
"49001","99999","Beaver UT","[not in a CBSA]",7072,0.0004,1 
"49003","36260","Box Elder UT","Ogden-Clearfield, UT",57666,0.083,1 
"49005","30860","Cache UT","Logan, UT-ID",133154,0.9037,1 
"49007","39220","Carbon UT","Price, UT",20412,1,1 
"49009","99999","Daggett UT","[not in a CBSA]",935,0.0001,1 
"49011","36260","Davis UT","Ogden-Clearfield, UT",362679,0.5219,1 
"49013","99999","Duchesne UT","[not in a CBSA]",19596,0.0011,1 
"49015","99999","Emery UT","[not in a CBSA]",9825,0.0005,1 
"49017","99999","Garfield UT","[not in a CBSA]",5083,0.0003,1 
"49019","99999","Grand UT","[not in a CBSA]",9669,0.0005,1 
"49021","16260","Iron UT","Cedar City, UT",57289,1,1 
"49023","39340","Juab UT","Provo-Orem, UT",11786,0.0176,1 
"49025","99999","Kane UT","[not in a CBSA]",7667,0.0004,1 
"49027","99999","Millard UT","[not in a CBSA]",12975,0.0007,1 
"49029","36260","Morgan UT","Ogden-Clearfield, UT",12295,0.0177,1 
"49031","99999","Piute UT","[not in a CBSA]",1438,0.0001,1 
"49033","99999","Rich UT","[not in a CBSA]",2510,0.0001,1 
"49035","41620","Salt Lake UT","Salt Lake City, UT",1185238,0.9422,1 
"49037","99999","San Juan UT","[not in a CBSA]",14518,0.0008,1 
"49039","99999","Sanpete UT","[not in a CBSA]",28437,0.0016,1 
"49041","99999","Sevier UT","[not in a CBSA]",21522,0.0012,1 
"49043","25720","Summit UT","Heber, UT",42357,0.5491,1 
"49045","41620","Tooele UT","Salt Lake City, UT",72698,0.0578,1 
"49047","46860","Uintah UT","Vernal, UT",35620,1,1 
"49049","39340","Utah UT","Provo-Orem, UT",659399,0.9824,1 
"49051","25720","Wasatch UT","Heber, UT",34788,0.4509,1 
"49053","41100","Washington UT","St. George, UT",180279,1,1 
"49055","99999","Wayne UT","[not in a CBSA]",2486,0.0001,1 
"49057","36260","Weber UT","Ogden-Clearfield, UT",262223,0.3774,1 
"50001","99999","Addison VT","[not in a CBSA]",37363,0.0021,1 
"50003","13540","Bennington VT","Bennington, VT",37347,1,1 
"50005","99999","Caledonia VT","[not in a CBSA]",30233,0.0017,1 
"50007","15540","Chittenden VT","Burlington-South Burlington, VT",168323,0.7462,1 
"50009","99999","Essex VT","[not in a CBSA]",5920,0.0003,1 
"50011","15540","Franklin VT","Burlington-South Burlington, VT",49946,0.2214,1 
"50013","15540","Grand Isle VT","Burlington-South Burlington, VT",7293,0.0323,1 
"50015","99999","Lamoille VT","[not in a CBSA]",25945,0.0014,1 
"50017","30100","Orange VT","Lebanon, NH-VT",29277,0.1323,1 
"50019","99999","Orleans VT","[not in a CBSA]",27393,0.0015,1 
"50021","40860","Rutland VT","Rutland, VT",60572,1,1 
"50023","12740","Washington VT","Barre, VT",59807,1,1 
"50025","99999","Windham VT","[not in a CBSA]",45905,0.0026,1 
"50027","30100","Windsor VT","Lebanon, NH-VT",57753,0.2611,1 
"51001","99999","Accomack VA","[not in a CBSA]",33413,0.0019,1 
"51003","16820","Albemarle VA","Charlottesville, VA",112395,0.5074,1 
"51005","99999","Alleghany VA","[not in a CBSA]",15223,0.0008,1 
"51007","40060","Amelia VA","Richmond, VA",13265,0.0101,1 
"51009","31340","Amherst VA","Lynchburg, VA",31307,0.1197,1 
"51011","31340","Appomattox VA","Lynchburg, VA",16119,0.0616,1 
"51013","47900","Arlington VA","Washington-Arlington-Alexandria, DC-VA-MD-WV",238643,0.0374,1 
"51015","44420","Augusta VA","Staunton, VA",77487,0.6178,1 
"51017","99999","Bath VA","[not in a CBSA]",4209,0.0002,1 
"51019","31340","Bedford VA (R)","Lynchburg, VA",79462,0.3038,1 
"51021","14140","Bland VA","Bluefield, WV-VA",6270,0.0589,1 
"51023","40220","Botetourt VA","Roanoke, VA",33596,0.1066,1 
"51025","99999","Brunswick VA","[not in a CBSA]",15849,0.0009,1 
"51027","99999","Buchanan VA","[not in a CBSA]",20355,0.0011,1 
"51029","99999","Buckingham VA","[not in a CBSA]",16824,0.0009,1 
"51031","31340","Campbell VA","Lynchburg, VA",55696,0.2129,1 
"51033","99999","Caroline VA","[not in a CBSA]",30887,0.0017,1 
"51035","99999","Carroll VA","[not in a CBSA]",29155,0.0016,1 
"51036","40060","Charles City VA","Richmond, VA",6773,0.0052,1 
"51037","99999","Charlotte VA","[not in a CBSA]",11529,0.0006,1 
"51041","40060","Chesterfield VA","Richmond, VA",364548,0.2773,1 
"51043","47900","Clarke VA","Washington-Arlington-Alexandria, DC-VA-MD-WV",14783,0.0023,1 
"51045","40220","Craig VA","Roanoke, VA",4892,0.0155,1 
"51047","47900","Culpeper VA","Washington-Arlington-Alexandria, DC-VA-MD-WV",52552,0.0082,1 
"51049","99999","Cumberland VA","[not in a CBSA]",9675,0.0005,1 
"51051","99999","Dickenson VA","[not in a CBSA]",14124,0.0008,1 
"51053","40060","Dinwiddie VA","Richmond, VA",27947,0.0213,1 
"51057","99999","Essex VA","[not in a CBSA]",10599,0.0006,1 
"51059","47900","Fairfax VA","Washington-Arlington-Alexandria, DC-VA-MD-WV",1150309,0.1802,1 
"51061","47900","Fauquier VA","Washington-Arlington-Alexandria, DC-VA-MD-WV",72972,0.0114,1 
"51063","99999","Floyd VA","[not in a CBSA]",15476,0.0009,1 
"51065","16820","Fluvanna VA","Charlottesville, VA",27249,0.123,1 
"51067","40220","Franklin VA","Roanoke, VA",54477,0.1728,1 
"51069","49020","Frederick VA","Winchester, VA-WV",91419,0.6409,1 
"51071","13980","Giles VA","Blacksburg-Christiansburg, VA",16787,0.1009,1 
"51073","47260","Gloucester VA","Virginia Beach-Norfolk-Newport News, VA-NC",38711,0.0215,1 
"51075","40060","Goochland VA","Richmond, VA",24727,0.0188,1 
"51077","99999","Grayson VA","[not in a CBSA]",15333,0.0009,1 
"51079","16820","Greene VA","Charlottesville, VA",20552,0.0928,1 
"51081","99999","Greensville VA","[not in a CBSA]",11391,0.0006,1 
"51083","99999","Halifax VA","[not in a CBSA]",34022,0.0019,1 
"51085","40060","Hanover VA","Richmond, VA",109979,0.0837,1 
"51087","40060","Henrico VA","Richmond, VA",334389,0.2544,1 
"51089","32300","Henry VA","Martinsville, VA",50948,0.7907,1 
"51091","99999","Highland VA","[not in a CBSA]",2232,0.0001,1 
"51093","47260","Isle of Wight VA","Virginia Beach-Norfolk-Newport News, VA-NC",38606,0.0215,1 
"51095","47260","James City VA","Virginia Beach-Norfolk-Newport News, VA-NC",78254,0.0435,1 
"51097","40060","King and Queen VA","Richmond, VA",6608,0.005,1 
"51099","99999","King George VA","[not in a CBSA]",26723,0.0015,1 
"51101","40060","King William VA","Richmond, VA",17810,0.0135,1 
"51103","99999","Lancaster VA","[not in a CBSA]",10919,0.0006,1 
"51105","99999","Lee VA","[not in a CBSA]",22173,0.0012,1 
"51107","47900","Loudoun VA","Washington-Arlington-Alexandria, DC-VA-MD-WV",420959,0.0659,1 
"51109","99999","Louisa VA","[not in a CBSA]",37596,0.0021,1 
"51111","99999","Lunenburg VA","[not in a CBSA]",11936,0.0007,1 
"51113","47900","Madison VA","Washington-Arlington-Alexandria, DC-VA-MD-WV",13837,0.0022,1 
"51115","47260","Mathews VA","Virginia Beach-Norfolk-Newport News, VA-NC",8533,0.0047,1 
"51117","99999","Mecklenburg VA","[not in a CBSA]",30319,0.0017,1 
"51119","99999","Middlesex VA","[not in a CBSA]",10625,0.0006,1 
"51121","13980","Montgomery VA","Blacksburg-Christiansburg, VA",99721,0.5994,1 
"51125","16820","Nelson VA","Charlottesville, VA",14775,0.0667,1 
"51127","40060","New Kent VA","Richmond, VA",22945,0.0175,1 
"51131","99999","Northampton VA","[not in a CBSA]",12282,0.0007,1 
"51133","99999","Northumberland VA","[not in a CBSA]",11839,0.0007,1 
"51135","99999","Nottoway VA","[not in a CBSA]",15642,0.0009,1 
