"county","cbsa20","CountyName","CBSAName20","pop20","afact2","afact"
"County code","Core-based statistical area code","County name","2020 CBSA name","Total population (2020 Census)","cbsa20-to-county allocation factor","county-to-cbsa20 allocation factor"
"01001","33860","Autauga AL","Montgomery, AL",58805,0.1523,1 
"01003","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",231767,1,1 
"01005","21640","Barbour AL","Eufaula, AL-GA",25223,0.9186,1 
"01007","13820","Bibb AL","Birmingham-Hoover, AL",22293,0.02,1 
"01009","13820","Blount AL","Birmingham-Hoover, AL",59134,0.053,1 
"01011","99999","Bullock AL","[not in a CBSA]",10357,0.0006,1 
"01013","99999","Butler AL","[not in a CBSA]",19051,0.0011,1 
"01015","11500","Calhoun AL","Anniston-Oxford, AL",116441,1,1 
"01017","29300","Chambers AL","LaGrange, GA-AL",34772,0.3337,1 
"01019","99999","Cherokee AL","[not in a CBSA]",24971,0.0014,1 
"01021","13820","Chilton AL","Birmingham-Hoover, AL",45014,0.0404,1 
"01023","99999","Choctaw AL","[not in a CBSA]",12665,0.0007,1 
"01025","99999","Clarke AL","[not in a CBSA]",23087,0.0013,1 
"01027","99999","Clay AL","[not in a CBSA]",14236,0.0008,1 
"01029","99999","Cleburne AL","[not in a CBSA]",15056,0.0008,1 
"01031","21460","Coffee AL","Enterprise, AL",53465,1,1 
"01033","22520","Colbert AL","Florence-Muscle Shoals, AL",57227,0.3795,1 
"01035","99999","Conecuh AL","[not in a CBSA]",11597,0.0006,1 
"01037","10760","Coosa AL","Alexander City, AL",10387,0.2009,1 
"01039","99999","Covington AL","[not in a CBSA]",37570,0.0021,1 
"01041","99999","Crenshaw AL","[not in a CBSA]",13194,0.0007,1 
"01043","18980","Cullman AL","Cullman, AL",87866,1,1 
"01045","37120","Dale AL","Ozark, AL",49326,1,1 
"01047","42820","Dallas AL","Selma, AL",38462,1,1 
"01049","22840","DeKalb AL","Fort Payne, AL",71608,1,1 
"01051","33860","Elmore AL","Montgomery, AL",87977,0.2279,1 
"01053","12120","Escambia AL","Atmore, AL",36757,1,1 
"01055","23460","Etowah AL","Gadsden, AL",103436,1,1 
"01057","99999","Fayette AL","[not in a CBSA]",16321,0.0009,1 
"01059","99999","Franklin AL","[not in a CBSA]",32113,0.0018,1 
"01061","20020","Geneva AL","Dothan, AL",26659,0.1765,1 
"01063","46220","Greene AL","Tuscaloosa, AL",7730,0.0288,1 
"01065","46220","Hale AL","Tuscaloosa, AL",14785,0.055,1 
"01067","20020","Henry AL","Dothan, AL",17146,0.1135,1 
"01069","20020","Houston AL","Dothan, AL",107202,0.7099,1 
"01071","42460","Jackson AL","Scottsboro, AL",52579,1,1 
"01073","13820","Jefferson AL","Birmingham-Hoover, AL",674721,0.605,1 
"01075","99999","Lamar AL","[not in a CBSA]",13972,0.0008,1 
"01077","22520","Lauderdale AL","Florence-Muscle Shoals, AL",93564,0.6205,1 
"01079","19460","Lawrence AL","Decatur, AL",33073,0.2113,1 
"01081","12220","Lee AL","Auburn-Opelika, AL",174241,1,1 
"01083","26620","Limestone AL","Huntsville, AL",103570,0.2106,1 
"01085","33860","Lowndes AL","Montgomery, AL",10311,0.0267,1 
"01087","99999","Macon AL","[not in a CBSA]",19532,0.0011,1 
"01089","26620","Madison AL","Huntsville, AL",388153,0.7894,1 
"01091","99999","Marengo AL","[not in a CBSA]",19323,0.0011,1 
"01093","99999","Marion AL","[not in a CBSA]",29341,0.0016,1 
"01095","10700","Marshall AL","Albertville, AL",97612,1,1 
"01097","33660","Mobile AL","Mobile, AL",414809,0.9642,1 
"01099","99999","Monroe AL","[not in a CBSA]",19772,0.0011,1 
"01101","33860","Montgomery AL","Montgomery, AL",228954,0.5931,1 
"01103","19460","Morgan AL","Decatur, AL",123421,0.7887,1 
"01105","99999","Perry AL","[not in a CBSA]",8511,0.0005,1 
"01107","46220","Pickens AL","Tuscaloosa, AL",19123,0.0712,1 
"01109","45980","Pike AL","Troy, AL",33009,1,1 
"01111","99999","Randolph AL","[not in a CBSA]",21967,0.0012,1 
"01113","17980","Russell AL","Columbus, GA-AL",59183,0.18,1 
"01115","13820","St. Clair AL","Birmingham-Hoover, AL",91103,0.0817,1 
"01117","13820","Shelby AL","Birmingham-Hoover, AL",223024,0.2,1 
"01119","99999","Sumter AL","[not in a CBSA]",12345,0.0007,1 
"01121","45180","Talladega AL","Talladega-Sylacauga, AL",82149,1,1 
"01123","10760","Tallapoosa AL","Alexander City, AL",41311,0.7991,1 
"01125","46220","Tuscaloosa AL","Tuscaloosa, AL",227036,0.845,1 
"01127","27530","Walker AL","Jasper, AL",65342,1,1 
"01129","33660","Washington AL","Mobile, AL",15388,0.0358,1 
"01131","99999","Wilcox AL","[not in a CBSA]",10600,0.0006,1 
"01133","99999","Winston AL","[not in a CBSA]",23540,0.0013,1 
"02013","99999","Aleutians East Borough AK","[not in a CBSA]",3420,0.0002,1 
"02016","99999","Aleutians West Census Area AK","[not in a CBSA]",5232,0.0003,1 
"02020","11260","Anchorage Borough AK","Anchorage, AK",291247,0.7312,1 
"02050","99999","Bethel Census Area AK","[not in a CBSA]",18666,0.001,1 
"02060","99999","Bristol Bay Borough AK","[not in a CBSA]",844,0,1 
"02063","99999","Chugach Census Area AK","[not in a CBSA]",7102,0.0004,1 
"02066","99999","Copper River Census Area AK","[not in a CBSA]",2617,0.0001,1 
"02068","99999","Denali Borough AK","[not in a CBSA]",1619,0.0001,1 
"02070","99999","Dillingham Census Area AK","[not in a CBSA]",4857,0.0003,1 
"02090","21820","Fairbanks North Star Borough AK","Fairbanks, AK",95655,1,1 
"02100","99999","Haines Borough AK","[not in a CBSA]",2080,0.0001,1 
"02105","99999","Hoonah-Angoon Census Area","[not in a CBSA]",2365,0.0001,1 
"02110","27940","Juneau Borough AK","Juneau, AK",32255,1,1 
"02122","99999","Kenai Peninsula Borough AK","[not in a CBSA]",58799,0.0033,1 
"02130","28540","Ketchikan Gateway Borough AK","Ketchikan, AK",13948,1,1 
"02150","99999","Kodiak Island Borough AK","[not in a CBSA]",13101,0.0007,1 
"02158","99999","Kusilvak Census Area AK (N)","[not in a CBSA]",8368,0.0005,1 
"02164","99999","Lake and Peninsula Borough AK","[not in a CBSA]",1476,0.0001,1 
"02170","11260","Matanuska-Susitna Borough AK","Anchorage, AK",107081,0.2688,1 
"02180","99999","Nome Census Area AK","[not in a CBSA]",10046,0.0006,1 
"02185","99999","North Slope Borough AK","[not in a CBSA]",11031,0.0006,1 
"02188","99999","Northwest Arctic Borough AK","[not in a CBSA]",7793,0.0004,1 
"02195","99999","Petersburg Census Area AK","[not in a CBSA]",3398,0.0002,1 
"02198","99999","Prince of Wales-Hyder Census Area AK","[not in a CBSA]",5753,0.0003,1 
"02220","99999","Sitka Borough AK","[not in a CBSA]",8458,0.0005,1 
"02230","99999","Skagway Municipality AK","[not in a CBSA]",1240,0.0001,1 
"02240","99999","Southeast Fairbanks Census Area AK","[not in a CBSA]",6808,0.0004,1 
"02275","99999","Wrangell City and Borough AK","[not in a CBSA]",2127,0.0001,1 
"02282","99999","Yakutat Borough AK","[not in a CBSA]",662,0,1 
"02290","99999","Yukon-Koyukuk Census Area AK","[not in a CBSA]",5343,0.0003,1 
"04001","99999","Apache AZ","[not in a CBSA]",66021,0.0037,1 
"04003","43420","Cochise AZ","Sierra Vista-Douglas, AZ",125447,1,1 
"04005","22380","Coconino AZ","Flagstaff, AZ",145101,1,1 
"04007","37740","Gila AZ","Payson, AZ",53272,1,1 
"04009","40940","Graham AZ","Safford, AZ",38533,1,1 
"04011","99999","Greenlee AZ","[not in a CBSA]",9563,0.0005,1 
"04012","99999","La Paz AZ","[not in a CBSA]",16557,0.0009,1 
"04013","38060","Maricopa AZ","Phoenix-Mesa-Chandler, AZ",4420568,0.9122,1 
"04015","29420","Mohave AZ","Lake Havasu City-Kingman, AZ",213267,1,1 
"04017","43320","Navajo AZ","Show Low, AZ",106717,1,1 
"04019","46060","Pima AZ","Tucson, AZ",1043433,1,1 
"04021","38060","Pinal AZ","Phoenix-Mesa-Chandler, AZ",425264,0.0878,1 
"04023","35700","Santa Cruz AZ","Nogales, AZ",47669,1,1 
"04025","39150","Yavapai AZ","Prescott Valley-Prescott, AZ",236209,1,1 
"04027","49740","Yuma AZ","Yuma, AZ",203881,1,1 
"05001","99999","Arkansas AR","[not in a CBSA]",17149,0.001,1 
"05003","99999","Ashley AR","[not in a CBSA]",19062,0.0011,1 
"05005","34260","Baxter AR","Mountain Home, AR",41627,1,1 
"05007","22220","Benton AR","Fayetteville-Springdale-Rogers, AR",284333,0.5201,1 
"05009","25460","Boone AR","Harrison, AR",37373,0.838,1 
"05011","99999","Bradley AR","[not in a CBSA]",10545,0.0006,1 
"05013","15780","Calhoun AR","Camden, AR",4739,0.173,1 
"05015","99999","Carroll AR","[not in a CBSA]",28260,0.0016,1 
"05017","99999","Chicot AR","[not in a CBSA]",10208,0.0006,1 
"05019","11660","Clark AR","Arkadelphia, AR",21446,1,1 
"05021","99999","Clay AR","[not in a CBSA]",14552,0.0008,1 
"05023","99999","Cleburne AR","[not in a CBSA]",24711,0.0014,1 
"05025","38220","Cleveland AR","Pine Bluff, AR",7550,0.086,1 
"05027","31620","Columbia AR","Magnolia, AR",22801,1,1 
"05029","99999","Conway AR","[not in a CBSA]",20715,0.0012,1 
"05031","27860","Craighead AR","Jonesboro, AR",111231,0.8289,1 
"05033","22900","Crawford AR","Fort Smith, AR-OK",60133,0.2461,1 
"05035","32820","Crittenden AR","Memphis, TN-MS-AR",48163,0.036,1 
"05037","99999","Cross AR","[not in a CBSA]",16833,0.0009,1 
"05039","99999","Dallas AR","[not in a CBSA]",6482,0.0004,1 
"05041","99999","Desha AR","[not in a CBSA]",11395,0.0006,1 
"05043","99999","Drew AR","[not in a CBSA]",17350,0.001,1 
"05045","30780","Faulkner AR","Little Rock-North Little Rock-Conway, AR",123498,0.1651,1 
"05047","22900","Franklin AR","Fort Smith, AR-OK",17097,0.07,1 
"05049","99999","Fulton AR","[not in a CBSA]",12075,0.0007,1 
"05051","26300","Garland AR","Hot Springs, AR",100180,1,1 
"05053","30780","Grant AR","Little Rock-North Little Rock-Conway, AR",17958,0.024,1 
"05055","37500","Greene AR","Paragould, AR",45736,1,1 
"05057","26260","Hempstead AR","Hope, AR",20065,0.7071,1 
"05059","31680","Hot Spring AR","Malvern, AR",33040,1,1 
"05061","99999","Howard AR","[not in a CBSA]",12785,0.0007,1 
"05063","12900","Independence AR","Batesville, AR",37938,0.6872,1 
"05065","99999","Izard AR","[not in a CBSA]",13577,0.0008,1 
"05067","99999","Jackson AR","[not in a CBSA]",16755,0.0009,1 
"05069","38220","Jefferson AR","Pine Bluff, AR",67260,0.7665,1 
"05071","99999","Johnson AR","[not in a CBSA]",25749,0.0014,1 
"05073","99999","Lafayette AR","[not in a CBSA]",6308,0.0004,1 
"05075","99999","Lawrence AR","[not in a CBSA]",16216,0.0009,1 
"05077","99999","Lee AR","[not in a CBSA]",8600,0.0005,1 
"05079","38220","Lincoln AR","Pine Bluff, AR",12941,0.1475,1 
"05081","45500","Little River AR","Texarkana, TX-AR",12026,0.0815,1 
"05083","99999","Logan AR","[not in a CBSA]",21131,0.0012,1 
"05085","30780","Lonoke AR","Little Rock-North Little Rock-Conway, AR",74015,0.0989,1 
"05087","22220","Madison AR","Fayetteville-Springdale-Rogers, AR",16521,0.0302,1 
"05089","99999","Marion AR","[not in a CBSA]",16826,0.0009,1 
"05091","45500","Miller AR","Texarkana, TX-AR",42600,0.2888,1 
"05093","14180","Mississippi AR","Blytheville, AR",40685,1,1 
"05095","99999","Monroe AR","[not in a CBSA]",6799,0.0004,1 
"05097","99999","Montgomery AR","[not in a CBSA]",8484,0.0005,1 
"05099","26260","Nevada AR","Hope, AR",8310,0.2929,1 
"05101","25460","Newton AR","Harrison, AR",7225,0.162,1 
"05103","15780","Ouachita AR","Camden, AR",22650,0.827,1 
"05105","30780","Perry AR","Little Rock-North Little Rock-Conway, AR",10019,0.0134,1 
"05107","25760","Phillips AR","Helena-West Helena, AR",16568,1,1 
"05109","99999","Pike AR","[not in a CBSA]",10171,0.0006,1 
"05111","27860","Poinsett AR","Jonesboro, AR",22965,0.1711,1 
"05113","99999","Polk AR","[not in a CBSA]",19221,0.0011,1 
"05115","40780","Pope AR","Russellville, AR",63381,0.7577,1 
"05117","99999","Prairie AR","[not in a CBSA]",8282,0.0005,1 
"05119","30780","Pulaski AR","Little Rock-North Little Rock-Conway, AR",399125,0.5336,1 
"05121","99999","Randolph AR","[not in a CBSA]",18571,0.001,1 
"05123","22620","St. Francis AR","Forrest City, AR",23090,1,1 
"05125","30780","Saline AR","Little Rock-North Little Rock-Conway, AR",123416,0.165,1 
"05127","99999","Scott AR","[not in a CBSA]",9836,0.0005,1 
"05129","99999","Searcy AR","[not in a CBSA]",7828,0.0004,1 
"05131","22900","Sebastian AR","Fort Smith, AR-OK",127799,0.5231,1 
"05133","99999","Sevier AR","[not in a CBSA]",15839,0.0009,1 
"05135","12900","Sharp AR","Batesville, AR",17271,0.3128,1 
"05137","99999","Stone AR","[not in a CBSA]",12359,0.0007,1 
"05139","20980","Union AR","El Dorado, AR",39054,1,1 
"05141","99999","Van Buren AR","[not in a CBSA]",15796,0.0009,1 
"05143","22220","Washington AR","Fayetteville-Springdale-Rogers, AR",245871,0.4497,1 
"05145","42620","White AR","Searcy, AR",76822,1,1 
"05147","99999","Woodruff AR","[not in a CBSA]",6269,0.0003,1 
"05149","40780","Yell AR","Russellville, AR",20263,0.2423,1 
"06001","41860","Alameda CA","San Francisco-Oakland-Berkeley, CA",1682353,0.3543,1 
"06003","99999","Alpine CA","[not in a CBSA]",1204,0.0001,1 
"06005","99999","Amador CA","[not in a CBSA]",40474,0.0023,1 
"06007","17020","Butte CA","Chico, CA",211632,1,1 
"06009","99999","Calaveras CA","[not in a CBSA]",45292,0.0025,1 
"06011","99999","Colusa CA","[not in a CBSA]",21839,0.0012,1 
"06013","41860","Contra Costa CA","San Francisco-Oakland-Berkeley, CA",1165927,0.2455,1 
"06015","18860","Del Norte CA","Crescent City, CA",27743,1,1 
"06017","40900","El Dorado CA","Sacramento-Roseville-Folsom, CA",191185,0.0797,1 
"06019","23420","Fresno CA","Fresno, CA",1008654,1,1 
"06021","99999","Glenn CA","[not in a CBSA]",28917,0.0016,1 
"06023","21700","Humboldt CA","Eureka-Arcata, CA",136463,1,1 
"06025","20940","Imperial CA","El Centro, CA",179702,1,1 
"06027","99999","Inyo CA","[not in a CBSA]",19016,0.0011,1 
"06029","12540","Kern CA","Bakersfield, CA",909235,1,1 
"06031","25260","Kings CA","Hanford-Corcoran, CA",152486,1,1 
"06033","17340","Lake CA","Clearlake, CA",68163,1,1 
"06035","45000","Lassen CA","Susanville, CA",32730,1,1 
"06037","31080","Los Angeles CA","Los Angeles-Long Beach-Anaheim, CA",10014009,0.7586,1 
"06039","31460","Madera CA","Madera, CA",156255,1,1 
"06041","41860","Marin CA","San Francisco-Oakland-Berkeley, CA",262321,0.0552,1 
"06043","99999","Mariposa CA","[not in a CBSA]",17131,0.001,1 
"06045","46380","Mendocino CA","Ukiah, CA",91601,1,1 
"06047","32900","Merced CA","Merced, CA",281202,1,1 
"06049","99999","Modoc CA","[not in a CBSA]",8700,0.0005,1 
"06051","99999","Mono CA","[not in a CBSA]",13195,0.0007,1 
"06053","41500","Monterey CA","Salinas, CA",439035,1,1 
"06055","34900","Napa CA","Napa, CA",138019,1,1 
"06057","46020","Nevada CA","Truckee-Grass Valley, CA",102241,1,1 
"06059","31080","Orange CA","Los Angeles-Long Beach-Anaheim, CA",3186989,0.2414,1 
"06061","40900","Placer CA","Sacramento-Roseville-Folsom, CA",404739,0.1688,1 
"06063","99999","Plumas CA","[not in a CBSA]",19790,0.0011,1 
"06065","40140","Riverside CA","Riverside-San Bernardino-Ontario, CA",2418185,0.5257,1 
"06067","40900","Sacramento CA","Sacramento-Roseville-Folsom, CA",1585055,0.6612,1 
"06069","41940","San Benito CA","San Jose-Sunnyvale-Santa Clara, CA",64209,0.0321,1 
"06071","40140","San Bernardino CA","Riverside-San Bernardino-Ontario, CA",2181654,0.4743,1 
"06073","41740","San Diego CA","San Diego-Chula Vista-Carlsbad, CA",3298634,1,1 
"06075","41860","San Francisco CA","San Francisco-Oakland-Berkeley, CA",873965,0.184,1 
"06077","44700","San Joaquin CA","Stockton, CA",779233,1,1 
"06079","42020","San Luis Obispo CA","San Luis Obispo-Paso Robles, CA",282424,1,1 
"06081","41860","San Mateo CA","San Francisco-Oakland-Berkeley, CA",764442,0.161,1 
"06083","42200","Santa Barbara CA","Santa Maria-Santa Barbara, CA",448229,1,1 
"06085","41940","Santa Clara CA","San Jose-Sunnyvale-Santa Clara, CA",1936259,0.9679,1 
"06087","42100","Santa Cruz CA","Santa Cruz-Watsonville, CA",270861,1,1 
"06089","39820","Shasta CA","Redding, CA",182155,1,1 
"06091","99999","Sierra CA","[not in a CBSA]",3236,0.0002,1 
"06093","99999","Siskiyou CA","[not in a CBSA]",44076,0.0025,1 
"06095","46700","Solano CA","Vallejo, CA",453491,1,1 
"06097","42220","Sonoma CA","Santa Rosa-Petaluma, CA",488863,1,1 
"06099","33700","Stanislaus CA","Modesto, CA",552878,1,1 
"06101","49700","Sutter CA","Yuba City, CA",99633,0.5498,1 
"06103","39780","Tehama CA","Red Bluff, CA",65829,1,1 
"06105","99999","Trinity CA","[not in a CBSA]",16112,0.0009,1 
"06107","47300","Tulare CA","Visalia, CA",473117,1,1 
"06109","43760","Tuolumne CA","Sonora, CA",55620,1,1 
"06111","37100","Ventura CA","Oxnard-Thousand Oaks-Ventura, CA",843843,1,1 
"06113","40900","Yolo CA","Sacramento-Roseville-Folsom, CA",216403,0.0903,1 
"06115","49700","Yuba CA","Yuba City, CA",81575,0.4502,1 
"08001","19740","Adams CO","Denver-Aurora-Lakewood, CO",519572,0.1753,1 
"08003","99999","Alamosa CO","[not in a CBSA]",16376,0.0009,1 
"08005","19740","Arapahoe CO","Denver-Aurora-Lakewood, CO",655070,0.221,1 
"08007","99999","Archuleta CO","[not in a CBSA]",13359,0.0007,1 
"08009","99999","Baca CO","[not in a CBSA]",3506,0.0002,1 
"08011","99999","Bent CO","[not in a CBSA]",5650,0.0003,1 
"08013","14500","Boulder CO","Boulder, CO",330758,1,1 
"08014","19740","Broomfield CO","Denver-Aurora-Lakewood, CO",74112,0.025,1 
"08015","99999","Chaffee CO","[not in a CBSA]",19476,0.0011,1 
"08017","99999","Cheyenne CO","[not in a CBSA]",1748,0.0001,1 
"08019","19740","Clear Creek CO","Denver-Aurora-Lakewood, CO",9397,0.0032,1 
"08021","99999","Conejos CO","[not in a CBSA]",7461,0.0004,1 
"08023","99999","Costilla CO","[not in a CBSA]",3499,0.0002,1 
"08025","99999","Crowley CO","[not in a CBSA]",5922,0.0003,1 
"08027","99999","Custer CO","[not in a CBSA]",4704,0.0003,1 
"08029","99999","Delta CO","[not in a CBSA]",31196,0.0017,1 
"08031","19740","Denver CO","Denver-Aurora-Lakewood, CO",715522,0.2414,1 
"08033","99999","Dolores CO","[not in a CBSA]",2326,0.0001,1 
"08035","19740","Douglas CO","Denver-Aurora-Lakewood, CO",357978,0.1208,1 
"08037","20780","Eagle CO","Edwards, CO",55731,1,1 
"08039","19740","Elbert CO","Denver-Aurora-Lakewood, CO",26062,0.0088,1 
"08041","17820","El Paso CO","Colorado Springs, CO",730395,0.9673,1 
"08043","15860","Fremont CO","Cañon City, CO",48939,1,1 
"08045","24060","Garfield CO","Glenwood Springs, CO",61685,0.7804,1 
"08047","19740","Gilpin CO","Denver-Aurora-Lakewood, CO",5808,0.002,1 
"08049","99999","Grand CO","[not in a CBSA]",15717,0.0009,1 
"08051","99999","Gunnison CO","[not in a CBSA]",16918,0.0009,1 
"08053","99999","Hinsdale CO","[not in a CBSA]",788,0,1 
"08055","99999","Huerfano CO","[not in a CBSA]",6820,0.0004,1 
"08057","99999","Jackson CO","[not in a CBSA]",1379,0.0001,1 
"08059","19740","Jefferson CO","Denver-Aurora-Lakewood, CO",582910,0.1967,1 
"08061","99999","Kiowa CO","[not in a CBSA]",1446,0.0001,1 
"08063","99999","Kit Carson CO","[not in a CBSA]",7087,0.0004,1 
"08065","99999","Lake CO","[not in a CBSA]",7436,0.0004,1 
"08067","20420","La Plata CO","Durango, CO",55638,1,1 
"08069","22660","Larimer CO","Fort Collins, CO",359066,1,1 
"08071","99999","Las Animas CO","[not in a CBSA]",14555,0.0008,1 
"08073","99999","Lincoln CO","[not in a CBSA]",5675,0.0003,1 
"08075","44540","Logan CO","Sterling, CO",21528,1,1 
"08077","24300","Mesa CO","Grand Junction, CO",155703,1,1 
"08079","99999","Mineral CO","[not in a CBSA]",865,0,1 
"08081","18780","Moffat CO","Craig, CO",13292,1,1 
"08083","99999","Montezuma CO","[not in a CBSA]",25849,0.0014,1 
"08085","33940","Montrose CO","Montrose, CO",42679,0.8975,1 
"08087","22820","Morgan CO","Fort Morgan, CO",29111,1,1 
"08089","99999","Otero CO","[not in a CBSA]",18690,0.001,1 
"08091","33940","Ouray CO","Montrose, CO",4874,0.1025,1 
"08093","19740","Park CO","Denver-Aurora-Lakewood, CO",17390,0.0059,1 
"08095","99999","Phillips CO","[not in a CBSA]",4530,0.0003,1 
"08097","24060","Pitkin CO","Glenwood Springs, CO",17358,0.2196,1 
"08099","99999","Prowers CO","[not in a CBSA]",11999,0.0007,1 
"08101","39380","Pueblo CO","Pueblo, CO",168162,1,1 
"08103","99999","Rio Blanco CO","[not in a CBSA]",6529,0.0004,1 
"08105","99999","Rio Grande CO","[not in a CBSA]",11539,0.0006,1 
"08107","44460","Routt CO","Steamboat Springs, CO",24829,1,1 
"08109","99999","Saguache CO","[not in a CBSA]",6368,0.0004,1 
"08111","99999","San Juan CO","[not in a CBSA]",705,0,1 
"08113","99999","San Miguel CO","[not in a CBSA]",8072,0.0004,1 
"08115","99999","Sedgwick CO","[not in a CBSA]",2404,0.0001,1 
"08117","14720","Summit CO","Breckenridge, CO",31055,1,1 
"08119","17820","Teller CO","Colorado Springs, CO",24710,0.0327,1 
"08121","99999","Washington CO","[not in a CBSA]",4817,0.0003,1 
"08123","24540","Weld CO","Greeley, CO",328981,1,1 
"08125","99999","Yuma CO","[not in a CBSA]",9988,0.0006,1 
"09001","14860","Fairfield CT","Bridgeport-Stamford-Norwalk, CT",957419,1,1 
"09003","25540","Hartford CT","Hartford-East Hartford-Middletown, CT",899498,0.7412,1 
"09005","45860","Litchfield CT","Torrington, CT",185186,1,1 
"09007","25540","Middlesex CT","Hartford-East Hartford-Middletown, CT",164245,0.1353,1 
"09009","35300","New Haven CT","New Haven-Milford, CT",865924,1,1 
"09011","35980","New London CT","Norwich-New London, CT",268555,1,1 
"09013","25540","Tolland CT","Hartford-East Hartford-Middletown, CT",149788,0.1234,1 
"09015","49340","Windham CT","Worcester, MA-CT",116418,0.119,1 
"10001","20100","Kent DE","Dover, DE",181851,1,1 
"10003","37980","New Castle DE","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",570719,0.0914,1 
"10005","41540","Sussex DE","Salisbury, MD-DE",237378,0.5678,1 
"11001","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",689545,0.108,1 
"12001","23540","Alachua FL","Gainesville, FL",278468,0.8208,1 
"12003","27260","Baker FL","Jacksonville, FL",28259,0.0176,1 
"12005","37460","Bay FL","Panama City, FL",175216,1,1 
"12007","99999","Bradford FL","[not in a CBSA]",28303,0.0016,1 
"12009","37340","Brevard FL","Palm Bay-Melbourne-Titusville, FL",606612,1,1 
"12011","33100","Broward FL","Miami-Fort Lauderdale-Pompano Beach, FL",1944375,0.3168,1 
"12013","99999","Calhoun FL","[not in a CBSA]",13648,0.0008,1 
"12015","39460","Charlotte FL","Punta Gorda, FL",186847,1,1 
"12017","26140","Citrus FL","Homosassa Springs, FL",153843,1,1 
"12019","27260","Clay FL","Jacksonville, FL",218245,0.1359,1 
"12021","34940","Collier FL","Naples-Marco Island, FL",375752,1,1 
"12023","29380","Columbia FL","Lake City, FL",69698,1,1 
"12027","11580","DeSoto FL","Arcadia, FL",33976,1,1 
"12029","99999","Dixie FL","[not in a CBSA]",16759,0.0009,1 
"12031","27260","Duval FL","Jacksonville, FL",995567,0.62,1 
"12033","37860","Escambia FL","Pensacola-Ferry Pass-Brent, FL",321905,0.6313,1 
"12035","19660","Flagler FL","Deltona-Daytona Beach-Ormond Beach, FL",115378,0.1725,1 
"12037","99999","Franklin FL","[not in a CBSA]",12451,0.0007,1 
"12039","45220","Gadsden FL","Tallahassee, FL",43826,0.114,1 
"12041","23540","Gilchrist FL","Gainesville, FL",17864,0.0527,1 
"12043","99999","Glades FL","[not in a CBSA]",12126,0.0007,1 
"12045","99999","Gulf FL","[not in a CBSA]",14192,0.0008,1 
"12047","99999","Hamilton FL","[not in a CBSA]",14004,0.0008,1 
"12049","48100","Hardee FL","Wauchula, FL",25327,1,1 
"12051","17500","Hendry FL","Clewiston, FL",39619,1,1 
"12053","45300","Hernando FL","Tampa-St. Petersburg-Clearwater, FL",194515,0.0613,1 
"12055","42700","Highlands FL","Sebring-Avon Park, FL",101235,1,1 
"12057","45300","Hillsborough FL","Tampa-St. Petersburg-Clearwater, FL",1459762,0.4597,1 
"12059","99999","Holmes FL","[not in a CBSA]",19653,0.0011,1 
"12061","42680","Indian River FL","Sebastian-Vero Beach, FL",159788,1,1 
"12063","99999","Jackson FL","[not in a CBSA]",47319,0.0026,1 
"12065","45220","Jefferson FL","Tallahassee, FL",14510,0.0378,1 
"12067","99999","Lafayette FL","[not in a CBSA]",8226,0.0005,1 
"12069","36740","Lake FL","Orlando-Kissimmee-Sanford, FL",383956,0.1436,1 
"12071","15980","Lee FL","Cape Coral-Fort Myers, FL",760822,1,1 
"12073","45220","Leon FL","Tallahassee, FL",292198,0.7603,1 
"12075","23540","Levy FL","Gainesville, FL",42915,0.1265,1 
"12077","99999","Liberty FL","[not in a CBSA]",7974,0.0004,1 
"12079","99999","Madison FL","[not in a CBSA]",17968,0.001,1 
"12081","35840","Manatee FL","North Port-Sarasota-Bradenton, FL",399710,0.4794,1 
"12083","36100","Marion FL","Ocala, FL",375908,1,1 
"12085","38940","Martin FL","Port St. Lucie, FL",158431,0.3249,1 
"12086","33100","Miami-Dade FL","Miami-Fort Lauderdale-Pompano Beach, FL",2701767,0.4401,1 
"12087","28580","Monroe FL","Key West, FL",82874,1,1 
"12089","27260","Nassau FL","Jacksonville, FL",90352,0.0563,1 
"12091","18880","Okaloosa FL","Crestview-Fort Walton Beach-Destin, FL",211668,0.7376,1 
"12093","36380","Okeechobee FL","Okeechobee, FL",39644,1,1 
"12095","36740","Orange FL","Orlando-Kissimmee-Sanford, FL",1429908,0.5349,1 
"12097","36740","Osceola FL","Orlando-Kissimmee-Sanford, FL",388656,0.1454,1 
"12099","33100","Palm Beach FL","Miami-Fort Lauderdale-Pompano Beach, FL",1492191,0.2431,1 
"12101","45300","Pasco FL","Tampa-St. Petersburg-Clearwater, FL",561891,0.177,1 
"12103","45300","Pinellas FL","Tampa-St. Petersburg-Clearwater, FL",959107,0.3021,1 
"12105","29460","Polk FL","Lakeland-Winter Haven, FL",725046,1,1 
"12107","37260","Putnam FL","Palatka, FL",73321,1,1 
"12109","27260","St. Johns FL","Jacksonville, FL",273425,0.1703,1 
"12111","38940","St. Lucie FL","Port St. Lucie, FL",329226,0.6751,1 
"12113","37860","Santa Rosa FL","Pensacola-Ferry Pass-Brent, FL",188000,0.3687,1 
"12115","35840","Sarasota FL","North Port-Sarasota-Bradenton, FL",434006,0.5206,1 
"12117","36740","Seminole FL","Orlando-Kissimmee-Sanford, FL",470856,0.1761,1 
