cbsa20,cbsatype20,CBSAName20,state_puma
37980,Metro,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42-03208
31080,Metro,"Los Angeles-Long Beach-Anaheim, CA",06-03765
38900,Metro,"Portland-Vancouver-Hillsboro, OR-WA",41-01319
35620,Metro,"New York-Newark-Jersey City, NY-NJ-PA",36-03701
37980,Metro,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42-03404
25540,Metro,"Hartford-East Hartford-Middletown, CT",09-00303
35620,Metro,"New York-Newark-Jersey City, NY-NJ-PA",36-03802
19740,Metro,"Denver-Aurora-Lakewood, CO",08-00812
12260,Metro,"Augusta-Richmond County, GA-SC",45-01500
20740,Metro,"Eau Claire, WI",55-55103
17460,Metro,"Cleveland-Elyria, OH",39-01000
11380,Micro,"Andrews, TX",48-03200
10420,Metro,"Akron, OH",39-01804
46060,Metro,"Tucson, AZ",04-00206
16980,Metro,"Chicago-Naperville-Elgin, IL-IN-WI",17-03422
14460,Metro,"Boston-Cambridge-Newton, MA-NH",25-03601
49220,Micro,"Wisconsin Rapids-Marshfield, WI",55-01601
33460,Metro,"Minneapolis-St. Paul-Bloomington, MN-WI",27-01700
40140,Metro,"Riverside-San Bernardino-Ontario, CA",06-06513
32820,Metro,"Memphis, TN-MS-AR",47-03207
47260,Metro,"Virginia Beach-Norfolk-Newport News, VA-NC",51-51155
21340,Metro,"El Paso, TX",48-03302
37980,Metro,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42-03304
14860,Metro,"Bridgeport-Stamford-Norwalk, CT",09-00103
12060,Metro,"Atlanta-Sandy Springs-Alpharetta, GA",13-01001
36420,Metro,"Oklahoma City, OK",40-01101
35620,Metro,"New York-Newark-Jersey City, NY-NJ-PA",36-04004
16580,Metro,"Champaign-Urbana, IL",17-02100
37980,Metro,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42-03101
12060,Metro,"Atlanta-Sandy Springs-Alpharetta, GA",13-01005
45780,Metro,"Toledo, OH",39-00300
19740,Metro,"Denver-Aurora-Lakewood, CO",08-00823
16980,Metro,"Chicago-Naperville-Elgin, IL-IN-WI",17-03421
40900,Metro,"Sacramento-Roseville-Folsom, CA",06-06702
39100,Metro,"Poughkeepsie-Newburgh-Middletown, NY",36-02802
31080,Metro,"Los Angeles-Long Beach-Anaheim, CA",06-05903
16980,Metro,"Chicago-Naperville-Elgin, IL-IN-WI",17-03524
40380,Metro,"Rochester, NY",36-01400
45500,Metro,"Texarkana, TX-AR",05-01500
16980,Metro,"Chicago-Naperville-Elgin, IL-IN-WI",17-03522
10700,Micro,"Albertville, AL",01-00500
40140,Metro,"Riverside-San Bernardino-Ontario, CA",06-06512
35300,Metro,"New Haven-Milford, CT",09-00902
11780,Micro,"Ashtabula, OH",39-01200
38900,Metro,"Portland-Vancouver-Hillsboro, OR-WA",41-01317
27620,Metro,"Jefferson City, MO",29-00500
38300,Metro,"Pittsburgh, PA",42-02002
42660,Metro,"Seattle-Tacoma-Bellevue, WA",53-11505
14860,Metro,"Bridgeport-Stamford-Norwalk, CT",09-00100
35620,Metro,"New York-Newark-Jersey City, NY-NJ-PA",36-04011
46220,Metro,"Tuscaloosa, AL",01-01500
35620,Metro,"New York-Newark-Jersey City, NY-NJ-PA",36-04012
20260,Metro,"Duluth, MN-WI",27-00400
41940,Metro,"San Jose-Sunnyvale-Santa Clara, CA",06-08503
33460,Metro,"Minneapolis-St. Paul-Bloomington, MN-WI",27-01103
12060,Metro,"Atlanta-Sandy Springs-Alpharetta, GA",13-01007
19340,Metro,"Davenport-Moline-Rock Island, IA-IL",17-00202
46060,Metro,"Tucson, AZ",04-00209
31540,Metro,"Madison, WI",55-00101
39300,Metro,"Providence-Warwick, RI-MA",44-00101
14460,Metro,"Boston-Cambridge-Newton, MA-NH",25-02800
41860,Metro,"San Francisco-Oakland-Berkeley, CA",06-01304
35620,Metro,"New York-Newark-Jersey City, NY-NJ-PA",36-04006
49340,Metro,"Worcester, MA-CT",09-01500
